p,delta,m,power_1,power_2,power_3
0.5,0.25,120.0,1.0,0.05,0.05
0.5,0.26,120.0,1.0,0.05,0.05
0.5,0.27,120.0,1.0,0.06,0.06
0.5,0.28,120.0,1.0,0.1,0.05
0.5,0.29,120.0,1.0,0.11,0.05
0.5,0.3,120.0,1.0,0.03,0.04
0.5,0.31,120.0,1.0,0.08,0.02
0.5,0.32,120.0,1.0,0.03,0.04
0.5,0.33,120.0,1.0,0.01,0.03
0.5,0.34,120.0,1.0,0.05,0.03
0.5,0.35000000000000003,120.0,1.0,0.04,0.06
0.5,0.36,120.0,1.0,0.01,0.02
0.5,0.37,120.0,1.0,0.06,0.05
0.5,0.38,120.0,1.0,0.05,0.05
0.5,0.39,120.0,1.0,0.03,0.04
0.5,0.4,120.0,1.0,0.06,0.06
0.5,0.41000000000000003,120.0,1.0,0.05,0.04
0.5,0.42,120.0,1.0,0.07,0.04
0.5,0.43,120.0,1.0,0.03,0.08
0.5,0.44,120.0,1.0,0.07,0.04
0.5,0.45,120.0,1.0,0.05,0.04
0.5,0.46,120.0,1.0,0.05,0.04
0.5,0.47000000000000003,120.0,1.0,0.05,0.09
0.5,0.48,120.0,1.0,0.07,0.06
0.5,0.49,120.0,1.0,0.05,0.06
0.5,0.5,120.0,1.0,0.01,0.05
0.5,0.01,130.0,0.09,0.06,0.03
0.5,0.02,130.0,0.13,0.05,0.05
0.5,0.03,130.0,0.34,0.02,0.04
0.5,0.04,130.0,0.47,0.08,0.05
0.5,0.05,130.0,0.73,0.05,0.04
0.5,0.06,130.0,0.82,0.04,0.06
0.5,0.07,130.0,0.93,0.02,0.05
0.5,0.08,130.0,1.0,0.07,0.04
0.5,0.09,130.0,1.0,0.04,0.03
0.5,0.1,130.0,0.99,0.04,0.04
0.5,0.11,130.0,1.0,0.06,0.02
0.5,0.12,130.0,1.0,0.05,0.03
0.5,0.13,130.0,1.0,0.0,0.04
0.5,0.14,130.0,1.0,0.12,0.05
0.5,0.15,130.0,1.0,0.03,0.06
0.5,0.16,130.0,1.0,0.14,0.02
0.5,0.17,130.0,1.0,0.03,0.08
0.5,0.18,130.0,1.0,0.05,0.06
0.5,0.19,130.0,1.0,0.05,0.05
0.5,0.2,130.0,1.0,0.05,0.04
0.5,0.21,130.0,1.0,0.04,0.07
0.5,0.22,130.0,1.0,0.04,0.02
0.5,0.23,130.0,1.0,0.04,0.04
0.5,0.24,130.0,1.0,0.02,0.06
0.5,0.25,130.0,1.0,0.05,0.04
0.5,0.26,130.0,1.0,0.04,0.02
0.5,0.27,130.0,1.0,0.04,0.02
0.5,0.28,130.0,1.0,0.06,0.01
0.5,0.29,130.0,1.0,0.06,0.06
0.5,0.3,130.0,1.0,0.01,0.06
0.5,0.31,130.0,1.0,0.01,0.03
0.5,0.32,130.0,1.0,0.03,0.04
0.5,0.33,130.0,1.0,0.06,0.04
0.5,0.34,130.0,1.0,0.07,0.06
0.5,0.35000000000000003,130.0,1.0,0.04,0.02
0.5,0.36,130.0,1.0,0.06,0.06
0.5,0.37,130.0,1.0,0.06,0.07
0.5,0.38,130.0,1.0,0.05,0.04
0.5,0.39,130.0,1.0,0.06,0.05
0.5,0.4,130.0,1.0,0.07,0.05
0.5,0.41000000000000003,130.0,1.0,0.05,0.05
0.5,0.42,130.0,1.0,0.04,0.07
0.5,0.43,130.0,1.0,0.02,0.08
0.5,0.44,130.0,1.0,0.02,0.03
0.5,0.45,130.0,1.0,0.05,0.01
0.5,0.46,130.0,1.0,0.05,0.03
0.5,0.47000000000000003,130.0,1.0,0.07,0.07
0.5,0.48,130.0,1.0,0.06,0.08
0.5,0.49,130.0,1.0,0.05,0.02
0.5,0.5,130.0,1.0,0.04,0.04
0.5,0.01,140.0,0.08,0.04,0.04
0.5,0.02,140.0,0.17,0.07,0.05
0.5,0.03,140.0,0.39,0.0,0.04
0.5,0.04,140.0,0.56,0.06,0.03
0.5,0.05,140.0,0.79,0.1,0.01
0.5,0.06,140.0,0.88,0.02,0.03
0.5,0.07,140.0,0.97,0.06,0.06
0.5,0.08,140.0,0.97,0.06,0.03
0.5,0.09,140.0,1.0,0.08,0.01
0.5,0.1,140.0,1.0,0.04,0.07
0.5,0.11,140.0,1.0,0.04,0.1
0.5,0.12,140.0,1.0,0.09,0.06
0.5,0.13,140.0,1.0,0.05,0.1
0.5,0.14,140.0,1.0,0.04,0.05
0.5,0.15,140.0,1.0,0.02,0.06
0.5,0.16,140.0,1.0,0.05,0.02
0.5,0.17,140.0,1.0,0.03,0.06
0.5,0.18,140.0,1.0,0.03,0.01
0.5,0.19,140.0,1.0,0.05,0.09
0.5,0.2,140.0,1.0,0.06,0.08
0.5,0.21,140.0,1.0,0.05,0.04
0.5,0.22,140.0,1.0,0.08,0.04
0.5,0.23,140.0,1.0,0.07,0.1
0.5,0.24,140.0,1.0,0.03,0.07
0.5,0.25,140.0,1.0,0.06,0.06
0.5,0.26,140.0,1.0,0.05,0.06
0.5,0.27,140.0,1.0,0.04,0.02
0.5,0.28,140.0,1.0,0.11,0.05
0.5,0.29,140.0,1.0,0.06,0.11
0.5,0.3,140.0,1.0,0.06,0.06
0.5,0.31,140.0,1.0,0.06,0.07
0.5,0.32,140.0,1.0,0.04,0.06
0.5,0.33,140.0,1.0,0.05,0.08
0.5,0.34,140.0,1.0,0.03,0.07
0.5,0.35000000000000003,140.0,1.0,0.01,0.06
0.5,0.36,140.0,1.0,0.03,0.04
0.5,0.37,140.0,1.0,0.04,0.06
0.5,0.38,140.0,1.0,0.03,0.02
0.5,0.39,140.0,1.0,0.02,0.04
0.5,0.4,140.0,1.0,0.02,0.01
0.5,0.41000000000000003,140.0,1.0,0.06,0.04
0.5,0.42,140.0,1.0,0.06,0.01
0.5,0.43,140.0,1.0,0.01,0.07
0.5,0.44,140.0,1.0,0.02,0.11
0.5,0.45,140.0,1.0,0.06,0.07
0.5,0.46,140.0,1.0,0.06,0.05
0.5,0.47000000000000003,140.0,1.0,0.05,0.06
0.5,0.48,140.0,1.0,0.07,0.07
0.5,0.49,140.0,1.0,0.08,0.02
0.5,0.5,140.0,1.0,0.09,0.03
0.5,0.01,150.0,0.1,0.04,0.07
0.5,0.02,150.0,0.13,0.07,0.06
0.5,0.03,150.0,0.37,0.08,0.06
0.5,0.04,150.0,0.58,0.04,0.07
0.5,0.05,150.0,0.79,0.03,0.05
0.5,0.06,150.0,0.89,0.06,0.03
0.5,0.07,150.0,0.98,0.04,0.06
0.5,0.08,150.0,0.99,0.07,0.03
0.5,0.09,150.0,1.0,0.02,0.06
0.5,0.1,150.0,1.0,0.03,0.04
0.5,0.11,150.0,1.0,0.08,0.05
0.5,0.12,150.0,1.0,0.03,0.01
0.5,0.13,150.0,1.0,0.05,0.05
0.5,0.14,150.0,1.0,0.09,0.03
0.5,0.15,150.0,1.0,0.05,0.05
0.5,0.16,150.0,1.0,0.1,0.04
0.5,0.17,150.0,1.0,0.01,0.07
0.5,0.18,150.0,1.0,0.07,0.05
0.5,0.19,150.0,1.0,0.06,0.06
0.5,0.2,150.0,1.0,0.07,0.05
0.5,0.21,150.0,1.0,0.06,0.06
0.5,0.22,150.0,1.0,0.03,0.06
0.5,0.23,150.0,1.0,0.06,0.04
0.5,0.24,150.0,1.0,0.02,0.07
0.5,0.25,150.0,1.0,0.06,0.03
0.5,0.26,150.0,1.0,0.04,0.07
0.5,0.27,150.0,1.0,0.02,0.06
0.5,0.28,150.0,1.0,0.06,0.05
0.5,0.29,150.0,1.0,0.07,0.02
0.5,0.3,150.0,1.0,0.05,0.05
0.5,0.31,150.0,1.0,0.04,0.08
0.5,0.32,150.0,1.0,0.09,0.05
0.5,0.33,150.0,1.0,0.05,0.04
0.5,0.34,150.0,1.0,0.03,0.05
0.5,0.35000000000000003,150.0,1.0,0.05,0.04
0.5,0.36,150.0,1.0,0.05,0.07
0.5,0.37,150.0,1.0,0.06,0.09
0.5,0.38,150.0,1.0,0.06,0.09
0.5,0.39,150.0,1.0,0.05,0.06
0.5,0.4,150.0,1.0,0.07,0.04
0.5,0.41000000000000003,150.0,1.0,0.1,0.04
0.5,0.42,150.0,1.0,0.06,0.04
0.5,0.43,150.0,1.0,0.01,0.09
0.5,0.44,150.0,1.0,0.08,0.09
0.5,0.45,150.0,1.0,0.04,0.07
0.5,0.46,150.0,1.0,0.06,0.05
0.5,0.47000000000000003,150.0,1.0,0.04,0.04
0.5,0.48,150.0,1.0,0.03,0.03
0.5,0.49,150.0,1.0,0.06,0.06
0.5,0.5,150.0,1.0,0.07,0.05
0.5,0.01,160.0,0.05,0.03,0.08
0.5,0.02,160.0,0.15,0.06,0.06
0.5,0.03,160.0,0.41,0.06,0.04
0.5,0.04,160.0,0.63,0.05,0.01
0.5,0.05,160.0,0.76,0.04,0.05
0.5,0.06,160.0,0.94,0.04,0.03
0.5,0.07,160.0,0.98,0.03,0.05
0.5,0.08,160.0,0.99,0.02,0.05
0.5,0.09,160.0,1.0,0.03,0.04
0.5,0.1,160.0,1.0,0.05,0.04
0.5,0.11,160.0,1.0,0.1,0.02
0.5,0.12,160.0,1.0,0.05,0.05
0.5,0.13,160.0,1.0,0.01,0.01
0.5,0.14,160.0,1.0,0.06,0.01
0.5,0.15,160.0,1.0,0.03,0.02
0.5,0.16,160.0,1.0,0.08,0.02
0.5,0.17,160.0,1.0,0.06,0.06
0.5,0.18,160.0,1.0,0.03,0.08
0.5,0.19,160.0,1.0,0.08,0.02
0.5,0.2,160.0,1.0,0.06,0.04
0.5,0.21,160.0,1.0,0.07,0.06
0.5,0.22,160.0,1.0,0.04,0.05
0.5,0.23,160.0,1.0,0.01,0.09
0.5,0.24,160.0,1.0,0.02,0.08
0.5,0.25,160.0,1.0,0.04,0.05
0.5,0.26,160.0,1.0,0.05,0.02
0.5,0.27,160.0,1.0,0.06,0.02
0.5,0.28,160.0,1.0,0.05,0.04
0.5,0.29,160.0,1.0,0.03,0.09
0.5,0.3,160.0,1.0,0.09,0.05
0.5,0.31,160.0,1.0,0.03,0.07
0.5,0.32,160.0,1.0,0.08,0.06
0.5,0.33,160.0,1.0,0.07,0.03
0.5,0.34,160.0,1.0,0.06,0.08
0.5,0.35000000000000003,160.0,1.0,0.08,0.04
0.5,0.36,160.0,1.0,0.04,0.05
0.5,0.37,160.0,1.0,0.09,0.06
0.5,0.38,160.0,1.0,0.03,0.08
0.5,0.39,160.0,1.0,0.06,0.03
0.5,0.4,160.0,1.0,0.02,0.08
0.5,0.41000000000000003,160.0,1.0,0.08,0.04
0.5,0.42,160.0,1.0,0.06,0.07
0.5,0.43,160.0,1.0,0.05,0.09
0.5,0.44,160.0,1.0,0.04,0.04
0.5,0.45,160.0,1.0,0.04,0.05
0.5,0.46,160.0,1.0,0.04,0.04
0.5,0.47000000000000003,160.0,1.0,0.09,0.02
0.5,0.48,160.0,1.0,0.1,0.02
0.5,0.49,160.0,1.0,0.05,0.06
0.5,0.5,160.0,1.0,0.05,0.04
0.5,0.01,170.0,0.09,0.03,0.06
0.5,0.02,170.0,0.22,0.04,0.04
0.5,0.03,170.0,0.34,0.07,0.04
0.5,0.04,170.0,0.63,0.06,0.02
0.5,0.05,170.0,0.8,0.08,0.06
0.5,0.06,170.0,0.92,0.04,0.03
0.5,0.07,170.0,0.99,0.09,0.03
0.5,0.08,170.0,0.99,0.03,0.05
0.5,0.09,170.0,1.0,0.11,0.06
0.5,0.1,170.0,1.0,0.02,0.03
0.5,0.11,170.0,1.0,0.03,0.05
0.5,0.12,170.0,1.0,0.05,0.04
0.5,0.13,170.0,1.0,0.04,0.06
0.5,0.14,170.0,1.0,0.05,0.01
0.5,0.15,170.0,1.0,0.07,0.05
0.5,0.16,170.0,1.0,0.02,0.08
0.5,0.17,170.0,1.0,0.07,0.04
0.5,0.18,170.0,1.0,0.11,0.04
0.5,0.19,170.0,1.0,0.05,0.07
0.5,0.2,170.0,1.0,0.01,0.07
0.5,0.21,170.0,1.0,0.06,0.07
0.5,0.22,170.0,1.0,0.04,0.06
0.5,0.23,170.0,1.0,0.02,0.05
0.5,0.24,170.0,1.0,0.03,0.0
0.5,0.25,170.0,1.0,0.04,0.01
0.5,0.26,170.0,1.0,0.03,0.03
0.5,0.27,170.0,1.0,0.06,0.04
0.5,0.28,170.0,1.0,0.04,0.04
0.5,0.29,170.0,1.0,0.08,0.06
0.5,0.3,170.0,1.0,0.07,0.08
0.5,0.31,170.0,1.0,0.03,0.08
0.5,0.32,170.0,1.0,0.05,0.03
0.5,0.33,170.0,1.0,0.02,0.02
0.5,0.34,170.0,1.0,0.07,0.07
0.5,0.35000000000000003,170.0,1.0,0.08,0.03
0.5,0.36,170.0,1.0,0.06,0.04
0.5,0.37,170.0,1.0,0.05,0.05
0.5,0.38,170.0,1.0,0.03,0.05
0.5,0.39,170.0,1.0,0.01,0.03
0.5,0.4,170.0,1.0,0.05,0.03
0.5,0.41000000000000003,170.0,1.0,0.04,0.07
0.5,0.42,170.0,1.0,0.06,0.02
0.5,0.43,170.0,1.0,0.04,0.05
0.5,0.44,170.0,1.0,0.03,0.04
0.5,0.45,170.0,1.0,0.02,0.03
0.5,0.46,170.0,1.0,0.01,0.03
0.5,0.47000000000000003,170.0,1.0,0.02,0.07
0.5,0.48,170.0,1.0,0.02,0.06
0.5,0.49,170.0,1.0,0.08,0.06
0.5,0.5,170.0,1.0,0.04,0.01
0.5,0.01,180.0,0.04,0.07,0.06
0.5,0.02,180.0,0.29,0.05,0.04
0.5,0.03,180.0,0.47,0.05,0.06
0.5,0.04,180.0,0.66,0.06,0.05
0.5,0.05,180.0,0.86,0.07,0.05
0.5,0.06,180.0,0.98,0.06,0.06
0.5,0.07,180.0,0.99,0.07,0.07
0.5,0.08,180.0,1.0,0.03,0.08
0.5,0.09,180.0,1.0,0.05,0.07
0.5,0.1,180.0,1.0,0.08,0.07
0.5,0.11,180.0,1.0,0.06,0.06
0.5,0.12,180.0,1.0,0.08,0.05
0.5,0.13,180.0,1.0,0.06,0.08
0.5,0.14,180.0,1.0,0.05,0.1
0.5,0.15,180.0,1.0,0.03,0.05
0.5,0.16,180.0,1.0,0.03,0.06
0.5,0.17,180.0,1.0,0.04,0.07
0.5,0.18,180.0,1.0,0.11,0.06
0.5,0.19,180.0,1.0,0.05,0.06
0.5,0.2,180.0,1.0,0.05,0.04
0.5,0.21,180.0,1.0,0.07,0.04
0.5,0.22,180.0,1.0,0.06,0.03
0.5,0.23,180.0,1.0,0.03,0.06
0.5,0.24,180.0,1.0,0.08,0.01
0.5,0.25,180.0,1.0,0.05,0.04
0.5,0.26,180.0,1.0,0.03,0.05
0.5,0.27,180.0,1.0,0.03,0.04
0.5,0.28,180.0,1.0,0.07,0.02
0.5,0.29,180.0,1.0,0.05,0.05
0.5,0.3,180.0,1.0,0.04,0.04
0.5,0.31,180.0,1.0,0.03,0.09
0.5,0.32,180.0,1.0,0.06,0.07
0.5,0.33,180.0,1.0,0.04,0.04
0.5,0.34,180.0,1.0,0.08,0.06
0.5,0.35000000000000003,180.0,1.0,0.07,0.02
0.5,0.36,180.0,1.0,0.02,0.04
0.5,0.37,180.0,1.0,0.05,0.02
0.5,0.38,180.0,1.0,0.1,0.04
0.5,0.39,180.0,1.0,0.02,0.06
0.5,0.4,180.0,1.0,0.05,0.04
0.5,0.41000000000000003,180.0,1.0,0.06,0.03
0.5,0.42,180.0,1.0,0.08,0.04
0.5,0.43,180.0,1.0,0.02,0.06
0.5,0.44,180.0,1.0,0.05,0.02
0.5,0.45,180.0,1.0,0.03,0.02
0.5,0.46,180.0,1.0,0.06,0.06
0.5,0.47000000000000003,180.0,1.0,0.06,0.06
0.5,0.48,180.0,1.0,0.07,0.05
0.5,0.49,180.0,1.0,0.07,0.07
0.5,0.5,180.0,1.0,0.05,0.06
0.5,0.01,190.0,0.09,0.08,0.03
0.5,0.02,190.0,0.24,0.06,0.03
0.5,0.03,190.0,0.41,0.07,0.03
0.5,0.04,190.0,0.73,0.04,0.04
0.5,0.05,190.0,0.85,0.03,0.07
0.5,0.06,190.0,0.99,0.07,0.04
0.5,0.07,190.0,1.0,0.02,0.04
0.5,0.08,190.0,1.0,0.04,0.06
0.5,0.09,190.0,1.0,0.09,0.09
0.5,0.1,190.0,1.0,0.03,0.07
0.5,0.11,190.0,1.0,0.05,0.03
0.5,0.12,190.0,1.0,0.05,0.03
0.5,0.13,190.0,1.0,0.07,0.07
0.5,0.14,190.0,1.0,0.03,0.07
0.5,0.15,190.0,1.0,0.07,0.07
0.5,0.16,190.0,1.0,0.06,0.03
0.5,0.17,190.0,1.0,0.11,0.07
0.5,0.18,190.0,1.0,0.04,0.03
0.5,0.19,190.0,1.0,0.02,0.05
0.5,0.2,190.0,1.0,0.06,0.07
0.5,0.21,190.0,1.0,0.07,0.06
0.5,0.22,190.0,1.0,0.07,0.03
0.5,0.23,190.0,1.0,0.12,0.07
0.5,0.24,190.0,1.0,0.02,0.01
0.5,0.25,190.0,1.0,0.02,0.01
0.5,0.26,190.0,1.0,0.04,0.05
0.5,0.27,190.0,1.0,0.08,0.07
0.5,0.28,190.0,1.0,0.05,0.06
0.5,0.29,190.0,1.0,0.03,0.04
0.5,0.3,190.0,1.0,0.03,0.06
0.5,0.31,190.0,1.0,0.04,0.04
0.5,0.32,190.0,1.0,0.08,0.05
0.5,0.33,190.0,1.0,0.03,0.05
0.5,0.34,190.0,1.0,0.07,0.03
0.5,0.35000000000000003,190.0,1.0,0.08,0.03
0.5,0.36,190.0,1.0,0.02,0.07
0.5,0.37,190.0,1.0,0.07,0.06
0.5,0.38,190.0,1.0,0.01,0.04
0.5,0.39,190.0,1.0,0.01,0.05
0.5,0.4,190.0,1.0,0.02,0.04
0.5,0.41000000000000003,190.0,1.0,0.02,0.03
0.5,0.42,190.0,1.0,0.03,0.05
0.5,0.43,190.0,1.0,0.04,0.04
0.5,0.44,190.0,1.0,0.03,0.03
0.5,0.45,190.0,1.0,0.03,0.07
0.5,0.46,190.0,1.0,0.05,0.09
0.5,0.47000000000000003,190.0,1.0,0.07,0.03
0.5,0.48,190.0,1.0,0.04,0.05
0.5,0.49,190.0,1.0,0.09,0.04
0.5,0.5,190.0,1.0,0.03,0.05
0.5,0.01,200.0,0.12,0.1,0.04
0.5,0.02,200.0,0.21,0.04,0.02
0.5,0.03,200.0,0.48,0.07,0.05
0.5,0.04,200.0,0.67,0.06,0.05
0.5,0.05,200.0,0.91,0.07,0.02
0.5,0.06,200.0,0.97,0.04,0.05
0.5,0.07,200.0,0.99,0.02,0.06
0.5,0.08,200.0,1.0,0.04,0.07
0.5,0.09,200.0,1.0,0.06,0.02
0.5,0.1,200.0,1.0,0.05,0.08
0.5,0.11,200.0,1.0,0.05,0.05
0.5,0.12,200.0,1.0,0.08,0.08
0.5,0.13,200.0,1.0,0.03,0.07
0.5,0.14,200.0,1.0,0.02,0.01
0.5,0.15,200.0,1.0,0.04,0.05
0.5,0.16,200.0,1.0,0.05,0.05
0.5,0.17,200.0,1.0,0.04,0.04
0.5,0.18,200.0,1.0,0.1,0.03
0.5,0.19,200.0,1.0,0.03,0.09
0.5,0.2,200.0,1.0,0.06,0.05
0.5,0.21,200.0,1.0,0.08,0.06
0.5,0.22,200.0,1.0,0.07,0.09
0.5,0.23,200.0,1.0,0.1,0.07
0.5,0.24,200.0,1.0,0.06,0.03
0.5,0.25,200.0,1.0,0.02,0.06
0.5,0.26,200.0,1.0,0.04,0.06
0.5,0.27,200.0,1.0,0.12,0.09
0.5,0.28,200.0,1.0,0.05,0.03
0.5,0.29,200.0,1.0,0.03,0.03
0.5,0.3,200.0,1.0,0.08,0.05
0.5,0.31,200.0,1.0,0.06,0.06
0.5,0.32,200.0,1.0,0.04,0.05
0.5,0.33,200.0,1.0,0.04,0.04
0.5,0.34,200.0,1.0,0.02,0.07
0.5,0.35000000000000003,200.0,1.0,0.1,0.04
0.5,0.36,200.0,1.0,0.03,0.04
0.5,0.37,200.0,1.0,0.04,0.09
0.5,0.38,200.0,1.0,0.05,0.03
0.5,0.39,200.0,1.0,0.06,0.03
0.5,0.4,200.0,1.0,0.05,0.05
0.5,0.41000000000000003,200.0,1.0,0.04,0.06
0.5,0.42,200.0,1.0,0.06,0.07
0.5,0.43,200.0,1.0,0.06,0.04
0.5,0.44,200.0,1.0,0.09,0.07
0.5,0.45,200.0,1.0,0.07,0.09
0.5,0.46,200.0,1.0,0.06,0.07
0.5,0.47000000000000003,200.0,1.0,0.02,0.09
0.5,0.48,200.0,1.0,0.04,0.02
0.5,0.49,200.0,1.0,0.06,0.04
0.5,0.5,200.0,1.0,0.07,0.03
0.5,0.01,210.0,0.13,0.03,0.05
0.5,0.02,210.0,0.24,0.07,0.04
0.5,0.03,210.0,0.49,0.01,0.03
0.5,0.04,210.0,0.66,0.08,0.06
0.5,0.05,210.0,0.91,0.04,0.03
0.5,0.06,210.0,0.97,0.04,0.07
0.5,0.07,210.0,1.0,0.08,0.04
0.5,0.08,210.0,1.0,0.05,0.03
0.5,0.09,210.0,1.0,0.05,0.05
0.5,0.1,210.0,1.0,0.07,0.04
0.5,0.11,210.0,1.0,0.08,0.04
0.5,0.12,210.0,1.0,0.08,0.08
0.5,0.13,210.0,1.0,0.02,0.03
0.5,0.14,210.0,1.0,0.04,0.06
0.5,0.15,210.0,1.0,0.04,0.04
0.5,0.16,210.0,1.0,0.04,0.04
0.5,0.17,210.0,1.0,0.08,0.03
0.5,0.18,210.0,1.0,0.06,0.07
0.5,0.19,210.0,1.0,0.06,0.05
0.5,0.2,210.0,1.0,0.07,0.04
0.5,0.21,210.0,1.0,0.03,0.04
0.5,0.22,210.0,1.0,0.02,0.04
0.5,0.23,210.0,1.0,0.04,0.05
0.5,0.24,210.0,1.0,0.03,0.04
0.5,0.25,210.0,1.0,0.07,0.05
0.5,0.26,210.0,1.0,0.06,0.03
0.5,0.27,210.0,1.0,0.06,0.06
0.5,0.28,210.0,1.0,0.03,0.08
0.5,0.29,210.0,1.0,0.04,0.07
0.5,0.3,210.0,1.0,0.02,0.03
0.5,0.31,210.0,1.0,0.09,0.07
0.5,0.32,210.0,1.0,0.06,0.07
0.5,0.33,210.0,1.0,0.07,0.07
0.5,0.34,210.0,1.0,0.07,0.08
0.5,0.35000000000000003,210.0,1.0,0.03,0.05
0.5,0.36,210.0,1.0,0.06,0.04
0.5,0.37,210.0,1.0,0.06,0.08
0.5,0.38,210.0,1.0,0.04,0.06
0.5,0.39,210.0,1.0,0.07,0.07
0.5,0.4,210.0,1.0,0.02,0.05
0.5,0.41000000000000003,210.0,1.0,0.04,0.08
0.5,0.42,210.0,1.0,0.03,0.03
0.5,0.43,210.0,1.0,0.07,0.03
0.5,0.44,210.0,1.0,0.05,0.03
0.5,0.45,210.0,1.0,0.06,0.02
0.5,0.46,210.0,1.0,0.08,0.06
0.5,0.47000000000000003,210.0,1.0,0.06,0.06
0.5,0.48,210.0,1.0,0.04,0.07
0.5,0.49,210.0,1.0,0.07,0.02
0.5,0.5,210.0,1.0,0.08,0.06
0.5,0.01,220.0,0.11,0.02,0.05
0.5,0.02,220.0,0.26,0.08,0.07
0.5,0.03,220.0,0.58,0.07,0.03
0.5,0.04,220.0,0.73,0.06,0.06
0.5,0.05,220.0,0.86,0.06,0.1
0.5,0.06,220.0,0.97,0.05,0.03
0.5,0.07,220.0,1.0,0.05,0.08
0.5,0.08,220.0,1.0,0.03,0.09
0.5,0.09,220.0,1.0,0.08,0.06
0.5,0.1,220.0,1.0,0.06,0.05
0.5,0.11,220.0,1.0,0.05,0.05
0.5,0.12,220.0,1.0,0.07,0.09
0.5,0.13,220.0,1.0,0.07,0.07
0.5,0.14,220.0,1.0,0.05,0.04
0.5,0.15,220.0,1.0,0.02,0.08
0.5,0.16,220.0,1.0,0.02,0.04
0.5,0.17,220.0,1.0,0.05,0.06
0.5,0.18,220.0,1.0,0.08,0.08
0.5,0.19,220.0,1.0,0.05,0.04
0.5,0.2,220.0,1.0,0.05,0.04
0.5,0.21,220.0,1.0,0.01,0.06
0.5,0.22,220.0,1.0,0.06,0.07
0.5,0.23,220.0,1.0,0.05,0.07
0.5,0.24,220.0,1.0,0.04,0.07
0.5,0.25,220.0,1.0,0.04,0.06
0.5,0.26,220.0,1.0,0.01,0.04
0.5,0.27,220.0,1.0,0.04,0.04
0.5,0.28,220.0,1.0,0.08,0.02
0.5,0.29,220.0,1.0,0.02,0.03
0.5,0.3,220.0,1.0,0.05,0.04
0.5,0.31,220.0,1.0,0.03,0.07
0.5,0.32,220.0,1.0,0.07,0.01
0.5,0.33,220.0,1.0,0.11,0.01
0.5,0.34,220.0,1.0,0.02,0.02
0.5,0.35000000000000003,220.0,1.0,0.05,0.05
0.5,0.36,220.0,1.0,0.04,0.04
0.5,0.37,220.0,1.0,0.05,0.08
0.5,0.38,220.0,1.0,0.03,0.05
0.5,0.39,220.0,1.0,0.04,0.04
0.5,0.4,220.0,1.0,0.07,0.01
0.5,0.41000000000000003,220.0,1.0,0.06,0.07
0.5,0.42,220.0,1.0,0.08,0.04
0.5,0.43,220.0,1.0,0.04,0.08
0.5,0.44,220.0,1.0,0.05,0.06
0.5,0.45,220.0,1.0,0.04,0.01
0.5,0.46,220.0,1.0,0.04,0.04
0.5,0.47000000000000003,220.0,1.0,0.09,0.07
0.5,0.48,220.0,1.0,0.04,0.06
0.5,0.49,220.0,1.0,0.03,0.06
0.5,0.5,220.0,1.0,0.03,0.1
0.5,0.01,230.0,0.07,0.04,0.06
0.5,0.02,230.0,0.29,0.04,0.08
0.5,0.03,230.0,0.42,0.05,0.02
0.5,0.04,230.0,0.78,0.03,0.06
0.5,0.05,230.0,0.94,0.07,0.05
0.5,0.06,230.0,0.95,0.08,0.03
0.5,0.07,230.0,1.0,0.05,0.05
0.5,0.08,230.0,1.0,0.07,0.06
0.5,0.09,230.0,1.0,0.08,0.04
0.5,0.1,230.0,1.0,0.05,0.07
0.5,0.11,230.0,1.0,0.04,0.02
0.5,0.12,230.0,1.0,0.04,0.06
0.5,0.13,230.0,1.0,0.07,0.08
0.5,0.14,230.0,1.0,0.05,0.03
0.5,0.15,230.0,1.0,0.09,0.06
0.5,0.16,230.0,1.0,0.03,0.04
0.5,0.17,230.0,1.0,0.03,0.04
0.5,0.18,230.0,1.0,0.02,0.07
0.5,0.19,230.0,1.0,0.03,0.06
0.5,0.2,230.0,1.0,0.05,0.02
0.5,0.21,230.0,1.0,0.04,0.06
0.5,0.22,230.0,1.0,0.04,0.05
0.5,0.23,230.0,1.0,0.05,0.04
0.5,0.24,230.0,1.0,0.04,0.04
0.5,0.25,230.0,1.0,0.03,0.05
0.5,0.26,230.0,1.0,0.06,0.03
0.5,0.27,230.0,1.0,0.06,0.03
0.5,0.28,230.0,1.0,0.04,0.09
0.5,0.29,230.0,1.0,0.02,0.09
0.5,0.3,230.0,1.0,0.08,0.04
0.5,0.31,230.0,1.0,0.09,0.0
0.5,0.32,230.0,1.0,0.07,0.06
0.5,0.33,230.0,1.0,0.01,0.11
0.5,0.34,230.0,1.0,0.06,0.04
0.5,0.35000000000000003,230.0,1.0,0.04,0.02
0.5,0.36,230.0,1.0,0.07,0.03
0.5,0.37,230.0,1.0,0.05,0.05
0.5,0.38,230.0,1.0,0.05,0.02
0.5,0.39,230.0,1.0,0.07,0.05
0.5,0.4,230.0,1.0,0.04,0.04
0.5,0.41000000000000003,230.0,1.0,0.04,0.06
0.5,0.42,230.0,1.0,0.09,0.03
0.5,0.43,230.0,1.0,0.03,0.07
0.5,0.44,230.0,1.0,0.05,0.01
0.5,0.45,230.0,1.0,0.08,0.03
0.5,0.46,230.0,1.0,0.04,0.06
0.5,0.47000000000000003,230.0,1.0,0.04,0.05
0.5,0.48,230.0,1.0,0.02,0.03
0.5,0.49,230.0,1.0,0.06,0.05
