m,p,delta,omni_power_mgc_1,omni_power_hotelling_1,omni_power_mgc_20,omni_power_hotelling_20,mase_power_mgc_1,mase_power_hotelling_1,mase_power_mgc_20,mase_power_hotelling_20
15,0.5,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.15,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
15,0.5,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.27,0.06,0.06,0.02,0.04,0.0,0.0,0.0,0.02
15,0.5,0.31,0.04,0.04,0.0,0.0,0.02,0.0,0.0,0.04
15,0.5,0.35000000000000003,0.08,0.08,0.02,0.0,0.0,0.02,0.02,0.06
15,0.5,0.39,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.04
15,0.5,0.43,0.06,0.18,0.0,0.0,0.02,0.04,0.04,0.1
15,0.5,0.47,0.04,0.3,0.0,0.0,0.02,0.04,0.02,0.06
15,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.08,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0
15,0.5,0.12,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
15,0.5,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.2,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.0
15,0.5,0.24,0.0,0.04,0.0,0.0,0.0,0.02,0.02,0.02
15,0.5,0.28,0.0,0.08,0.0,0.0,0.02,0.04,0.0,0.0
15,0.5,0.32,0.02,0.04,0.0,0.0,0.04,0.04,0.02,0.02
15,0.5,0.36,0.04,0.14,0.0,0.0,0.02,0.02,0.0,0.02
15,0.5,0.4,0.0,0.04,0.0,0.0,0.0,0.14,0.0,0.08
15,0.5,0.44,0.1,0.2,0.0,0.0,0.02,0.06,0.0,0.04
15,0.5,0.48,0.04,0.16,0.0,0.0,0.06,0.12,0.06,0.12
15,0.5,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
15,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
15,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.13,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
15,0.5,0.17,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
15,0.5,0.21,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.25,0.02,0.0,0.0,0.0,0.02,0.04,0.0,0.02
15,0.5,0.29,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.33,0.0,0.0,0.0,0.0,0.02,0.06,0.02,0.04
15,0.5,0.37,0.08,0.16,0.0,0.0,0.02,0.06,0.02,0.02
15,0.5,0.41,0.04,0.08,0.0,0.0,0.0,0.04,0.0,0.02
15,0.5,0.45,0.04,0.16,0.0,0.0,0.02,0.02,0.0,0.02
15,0.5,0.49,0.14,0.16,0.0,0.0,0.02,0.14,0.02,0.06
20,0.5,0.03,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
20,0.5,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
20,0.5,0.11,0.04,0.04,0.0,0.0,0.0,0.0,0.02,0.0
20,0.5,0.15,0.04,0.0,0.0,0.0,0.04,0.02,0.0,0.02
20,0.5,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.23,0.02,0.02,0.0,0.0,0.02,0.04,0.0,0.04
20,0.5,0.27,0.0,0.04,0.0,0.0,0.06,0.02,0.04,0.02
20,0.5,0.31,0.02,0.1,0.0,0.0,0.02,0.02,0.02,0.02
20,0.5,0.35000000000000003,0.02,0.14,0.0,0.0,0.0,0.06,0.02,0.02
20,0.5,0.39,0.06,0.2,0.0,0.0,0.0,0.04,0.02,0.04
20,0.5,0.43,0.14,0.36,0.0,0.0,0.04,0.12,0.04,0.08
20,0.5,0.47,0.14,0.34,0.02,0.04,0.04,0.12,0.02,0.14
20,0.5,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
20,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.08,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02
20,0.5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.16,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0
20,0.5,0.2,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02
20,0.5,0.24,0.04,0.06,0.0,0.02,0.0,0.02,0.0,0.0
20,0.5,0.28,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.02
20,0.5,0.32,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0
20,0.5,0.36,0.04,0.16,0.0,0.0,0.0,0.04,0.04,0.04
20,0.5,0.4,0.1,0.22,0.0,0.0,0.0,0.14,0.04,0.08
20,0.5,0.44,0.1,0.32,0.02,0.02,0.0,0.08,0.04,0.1
20,0.5,0.48,0.14,0.28,0.02,0.0,0.0,0.08,0.02,0.08
20,0.5,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
20,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.13,0.0,0.0,0.02,0.0,0.02,0.0,0.04,0.02
20,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.21,0.02,0.02,0.0,0.0,0.02,0.04,0.0,0.0
20,0.5,0.25,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0
20,0.5,0.29,0.0,0.04,0.0,0.0,0.0,0.02,0.02,0.06
20,0.5,0.33,0.06,0.12,0.0,0.02,0.02,0.02,0.0,0.0
20,0.5,0.37,0.06,0.16,0.02,0.0,0.0,0.06,0.0,0.08
20,0.5,0.41,0.0,0.16,0.0,0.0,0.0,0.0,0.02,0.0
20,0.5,0.45,0.18,0.42,0.02,0.0,0.04,0.12,0.04,0.2
20,0.5,0.49,0.22,0.58,0.0,0.02,0.0,0.12,0.0,0.12
20,0.5,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
20,0.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
20,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.18,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.26,0.02,0.06,0.0,0.0,0.0,0.04,0.0,0.02
20,0.5,0.3,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5,0.34,0.06,0.1,0.0,0.0,0.0,0.06,0.02,0.04
20,0.5,0.38,0.14,0.2,0.0,0.0,0.04,0.1,0.06,0.1
20,0.5,0.42,0.1,0.38,0.0,0.0,0.02,0.1,0.0,0.06
20,0.5,0.46,0.1,0.28,0.02,0.0,0.02,0.1,0.0,0.06
20,0.5,0.5,0.22,0.44,0.0,0.0,0.04,0.12,0.04,0.12
25,0.5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
25,0.5,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.02,0.0
25,0.5,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.12,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.0
25,0.5,0.16,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
25,0.5,0.2,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0
25,0.5,0.24,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.04
25,0.5,0.28,0.06,0.14,0.0,0.0,0.04,0.02,0.04,0.06
25,0.5,0.32,0.1,0.1,0.0,0.0,0.02,0.08,0.02,0.04
25,0.5,0.36,0.1,0.28,0.02,0.0,0.0,0.12,0.02,0.1
25,0.5,0.4,0.06,0.36,0.0,0.0,0.02,0.06,0.0,0.08
25,0.5,0.44,0.18,0.48,0.0,0.0,0.02,0.1,0.02,0.06
25,0.5,0.48,0.18,0.52,0.0,0.0,0.04,0.14,0.04,0.1
25,0.5,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02
25,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
25,0.5,0.13,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.17,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.21,0.0,0.02,0.0,0.0,0.02,0.04,0.02,0.0
25,0.5,0.25,0.02,0.08,0.02,0.0,0.0,0.02,0.02,0.02
25,0.5,0.29,0.06,0.1,0.0,0.0,0.02,0.04,0.04,0.04
25,0.5,0.33,0.1,0.22,0.0,0.0,0.06,0.08,0.02,0.06
25,0.5,0.37,0.04,0.2,0.0,0.0,0.02,0.06,0.02,0.02
25,0.5,0.41,0.16,0.26,0.02,0.0,0.04,0.1,0.06,0.1
25,0.5,0.45,0.12,0.38,0.0,0.0,0.1,0.2,0.02,0.16
25,0.5,0.49,0.42,0.78,0.0,0.0,0.16,0.32,0.12,0.26
25,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.06,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
25,0.5,0.1,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.0
25,0.5,0.14,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02
25,0.5,0.18,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
25,0.5,0.22,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.26,0.02,0.08,0.0,0.0,0.02,0.02,0.0,0.0
25,0.5,0.3,0.02,0.16,0.0,0.0,0.0,0.02,0.0,0.02
25,0.5,0.34,0.1,0.2,0.02,0.0,0.04,0.06,0.04,0.06
25,0.5,0.38,0.1,0.3,0.0,0.0,0.04,0.06,0.04,0.08
25,0.5,0.42,0.04,0.38,0.0,0.0,0.02,0.1,0.0,0.08
25,0.5,0.46,0.24,0.6,0.0,0.02,0.08,0.22,0.06,0.16
25,0.5,0.5,0.34,0.56,0.02,0.0,0.06,0.24,0.06,0.1
25,0.5,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0
25,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.11,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02
25,0.5,0.19,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.23,0.0,0.02,0.02,0.0,0.02,0.04,0.0,0.02
25,0.5,0.27,0.04,0.06,0.0,0.0,0.04,0.04,0.0,0.04
25,0.5,0.31,0.04,0.12,0.0,0.0,0.0,0.04,0.0,0.02
25,0.5,0.35000000000000003,0.08,0.2,0.02,0.0,0.0,0.04,0.0,0.06
25,0.5,0.39,0.14,0.28,0.02,0.0,0.02,0.08,0.04,0.1
25,0.5,0.43,0.22,0.44,0.0,0.0,0.02,0.12,0.0,0.12
25,0.5,0.47,0.32,0.52,0.0,0.0,0.02,0.06,0.06,0.18
30,0.5,0.01,0.0,0.02,0.06,0.02,0.0,0.0,0.0,0.0
30,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
30,0.5,0.17,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0
30,0.5,0.21,0.04,0.1,0.0,0.0,0.02,0.04,0.02,0.02
30,0.5,0.25,0.04,0.06,0.0,0.02,0.02,0.06,0.02,0.04
30,0.5,0.29,0.04,0.14,0.0,0.0,0.04,0.1,0.04,0.04
30,0.5,0.33,0.12,0.28,0.0,0.0,0.02,0.02,0.0,0.04
30,0.5,0.37,0.08,0.32,0.0,0.0,0.02,0.1,0.0,0.08
30,0.5,0.41,0.24,0.54,0.0,0.0,0.04,0.18,0.04,0.08
30,0.5,0.45,0.26,0.56,0.0,0.0,0.0,0.12,0.0,0.1
30,0.5,0.49,0.44,0.74,0.0,0.0,0.1,0.32,0.04,0.28
30,0.5,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.06,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.02
30,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.14,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02
30,0.5,0.18,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.04
30,0.5,0.22,0.02,0.04,0.0,0.0,0.0,0.04,0.0,0.02
30,0.5,0.26,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02
30,0.5,0.3,0.04,0.04,0.0,0.0,0.0,0.04,0.02,0.04
30,0.5,0.34,0.06,0.3,0.0,0.0,0.0,0.08,0.0,0.06
30,0.5,0.38,0.12,0.52,0.02,0.0,0.04,0.14,0.04,0.06
30,0.5,0.42,0.2,0.42,0.0,0.0,0.02,0.08,0.04,0.08
30,0.5,0.46,0.3,0.6,0.0,0.0,0.06,0.24,0.02,0.18
30,0.5,0.5,0.58,0.78,0.0,0.0,0.06,0.24,0.1,0.36
30,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
30,0.5,0.11,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0
30,0.5,0.15,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02
30,0.5,0.19,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0
30,0.5,0.23,0.0,0.06,0.0,0.0,0.02,0.02,0.0,0.02
30,0.5,0.27,0.06,0.12,0.02,0.0,0.02,0.08,0.02,0.06
30,0.5,0.31,0.08,0.14,0.0,0.0,0.0,0.04,0.02,0.06
30,0.5,0.35000000000000003,0.06,0.36,0.0,0.0,0.0,0.04,0.0,0.0
30,0.5,0.39,0.1,0.4,0.0,0.0,0.04,0.1,0.06,0.06
30,0.5,0.43,0.18,0.46,0.0,0.0,0.04,0.2,0.06,0.14
30,0.5,0.47,0.4,0.68,0.0,0.0,0.06,0.2,0.04,0.22
30,0.5,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
30,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.08,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0
30,0.5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.5,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
30,0.5,0.2,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0
30,0.5,0.24,0.0,0.06,0.02,0.0,0.02,0.0,0.0,0.0
30,0.5,0.28,0.06,0.18,0.0,0.0,0.0,0.0,0.02,0.04
30,0.5,0.32,0.12,0.18,0.0,0.0,0.02,0.08,0.02,0.04
30,0.5,0.36,0.18,0.34,0.0,0.0,0.02,0.06,0.0,0.06
30,0.5,0.4,0.22,0.42,0.0,0.0,0.02,0.14,0.0,0.04
30,0.5,0.44,0.32,0.52,0.0,0.0,0.04,0.1,0.02,0.1
30,0.5,0.48,0.36,0.66,0.0,0.02,0.1,0.28,0.06,0.14
35,0.5,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
35,0.5,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
35,0.5,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
35,0.5,0.14,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0
35,0.5,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
35,0.5,0.22,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02
35,0.5,0.26,0.08,0.22,0.04,0.0,0.0,0.06,0.0,0.06
35,0.5,0.3,0.08,0.18,0.0,0.0,0.02,0.0,0.0,0.02
35,0.5,0.34,0.1,0.32,0.0,0.0,0.0,0.08,0.04,0.16
35,0.5,0.38,0.18,0.42,0.02,0.0,0.02,0.14,0.02,0.1
35,0.5,0.42,0.2,0.56,0.02,0.0,0.08,0.2,0.02,0.2
35,0.5,0.46,0.42,0.72,0.0,0.0,0.04,0.32,0.1,0.26
35,0.5,0.5,0.56,0.92,0.02,0.0,0.16,0.38,0.1,0.2
35,0.5,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
35,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.5,0.11,0.04,0.02,0.0,0.0,0.02,0.02,0.0,0.0
35,0.5,0.15,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
35,0.5,0.19,0.04,0.06,0.02,0.0,0.0,0.0,0.0,0.0
35,0.5,0.23,0.02,0.04,0.0,0.0,0.0,0.02,0.0,0.04
35,0.5,0.27,0.02,0.12,0.0,0.0,0.0,0.04,0.02,0.02
35,0.5,0.31,0.08,0.2,0.02,0.02,0.0,0.02,0.04,0.04
