m,n,effect_size,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,120,0.2,0.0335,0.054833333333333324,0.06716666666666665,0.03449999999999999,0.05333333333333334,0.06583333333333334
80,120,0.2,0.032,0.050166666666666665,0.05883333333333332,0.030333333333333337,0.04533333333333333,0.05899999999999999
120,120,0.2,0.030333333333333337,0.051,0.06249999999999999,0.03216666666666666,0.049,0.06383333333333333
160,120,0.2,0.03116666666666667,0.04833333333333334,0.04183333333333333,0.03283333333333334,0.04649999999999999,0.042166666666666665
200,120,0.2,0.027500000000000004,0.048833333333333326,0.09633333333333334,0.03166666666666667,0.05049999999999999,0.1075
40,160,0.2,0.032375,0.04975,0.055374999999999994,0.029249999999999998,0.049374999999999995,0.05525
80,160,0.2,0.031375,0.048,0.054000000000000006,0.033,0.049875,0.053125
120,160,0.2,0.028750000000000005,0.05112500000000001,0.050749999999999997,0.032375,0.047625,0.049749999999999996
160,160,0.2,0.028000000000000004,0.04925,0.066625,0.030125000000000002,0.050749999999999997,0.0685
200,160,0.2,0.026500000000000003,0.046625,0.07462500000000001,0.029125,0.051875000000000004,0.079
40,200,0.2,0.0326,0.0562,0.09029999999999998,0.032,0.0535,0.0883
80,200,0.2,0.029899999999999996,0.04780000000000001,0.028199999999999992,0.029899999999999993,0.0533,0.031200000000000002
120,200,0.2,0.028999999999999998,0.0513,0.08109999999999999,0.0302,0.051000000000000004,0.0824
160,200,0.2,0.026799999999999997,0.0495,0.10400000000000001,0.0288,0.05080000000000001,0.1103
200,200,0.2,0.0279,0.047700000000000006,0.0443,0.032,0.04969999999999999,0.042699999999999995
40,40,10.0,0.05000000000000001,0.3315,0.993,1.0,1.0,1.0
80,40,10.0,0.05500000000000001,0.7975,1.0,1.0,1.0,1.0
120,40,10.0,0.06800000000000002,0.9569999999999999,1.0,1.0,1.0,1.0
160,40,10.0,0.09150000000000001,0.998,1.0,1.0,1.0,1.0
200,40,10.0,0.1125,1.0,1.0,1.0,1.0,1.0
40,80,10.0,0.050249999999999996,0.7135,1.0,1.0,1.0,1.0
80,80,10.0,0.0635,0.99225,1.0,1.0,1.0,1.0
120,80,10.0,0.08175,1.0,1.0,1.0,1.0,1.0
160,80,10.0,0.11225,1.0,1.0,1.0,1.0,1.0
200,80,10.0,0.14875,1.0,1.0,1.0,1.0,1.0
40,120,10.0,0.04283333333333333,0.9001666666666667,1.0,1.0,1.0,1.0
80,120,10.0,0.07266666666666666,0.9998333333333334,1.0,1.0,1.0,1.0
120,120,10.0,0.09416666666666668,1.0,1.0,1.0,1.0,1.0
160,120,10.0,0.13033333333333336,1.0,1.0,1.0,1.0,1.0
200,120,10.0,0.17583333333333334,1.0,1.0,1.0,1.0,1.0
40,160,10.0,0.059375,0.9632499999999998,1.0,1.0,1.0,1.0
80,160,10.0,0.07412500000000001,1.0,1.0,1.0,1.0,1.0
120,160,10.0,0.10487500000000001,1.0,1.0,1.0,1.0,1.0
160,160,10.0,0.14100000000000001,1.0,1.0,1.0,1.0,1.0
200,160,10.0,0.20024999999999998,1.0,1.0,1.0,1.0,1.0
40,200,10.0,0.0661,0.9854999999999999,1.0,1.0,1.0,1.0
80,200,10.0,0.0809,1.0,1.0,1.0,1.0,1.0
120,200,10.0,0.11019999999999999,1.0,1.0,1.0,1.0,1.0
160,200,10.0,0.1434,1.0,1.0,1.0,1.0,1.0
200,200,10.0,0.21440000000000003,1.0,1.0,1.0,1.0,1.0
