p,delta,m,precision_at_1,precision_at_2,precision_at_3,precision_at_4,precision_at_5,precision_at_6,precision_at_7,precision_at_8,precision_at_9,precision_at_10,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_6,recall_at_7,recall_at_8,recall_at_9,recall_at_10
0.5,0.05050505050505051,10.0,0.05,0.055,0.05333333333333332,0.055,0.06200000000000003,0.06000000000000001,0.05857142857142859,0.06125,0.06444444444444439,0.06899999999999995,0.005,0.011,0.016000000000000004,0.022000000000000006,0.031000000000000014,0.03600000000000001,0.041000000000000016,0.049,0.05799999999999997,0.06899999999999995
0.5,0.05555555555555556,10.0,0.07,0.065,0.05666666666666665,0.0625,0.05400000000000003,0.055,0.052857142857142866,0.055,0.05888888888888885,0.06399999999999996,0.006999999999999999,0.013000000000000001,0.017000000000000005,0.025000000000000012,0.027000000000000014,0.03300000000000002,0.03700000000000002,0.04400000000000001,0.05299999999999999,0.06399999999999996
0.5,0.06060606060606061,10.0,0.1,0.105,0.07999999999999996,0.0625,0.06200000000000003,0.06000000000000002,0.06142857142857146,0.05875,0.057777777777777733,0.05699999999999998,0.009999999999999998,0.021000000000000005,0.024000000000000007,0.02500000000000001,0.031000000000000014,0.03600000000000002,0.04300000000000001,0.04699999999999999,0.05199999999999998,0.05699999999999998
0.5,0.06565656565656566,10.0,0.06,0.075,0.06999999999999998,0.075,0.07400000000000004,0.08000000000000003,0.07571428571428576,0.07375,0.07555555555555549,0.07699999999999996,0.006,0.015000000000000003,0.021000000000000005,0.030000000000000013,0.03700000000000002,0.04800000000000001,0.053000000000000005,0.05899999999999998,0.06799999999999998,0.07699999999999996
0.5,0.07070707070707072,10.0,0.05,0.075,0.07333333333333332,0.0675,0.06600000000000003,0.06833333333333336,0.06857142857142862,0.06875,0.0644444444444444,0.059999999999999984,0.005,0.015,0.022000000000000006,0.02700000000000001,0.033000000000000015,0.041000000000000016,0.048,0.05499999999999999,0.05799999999999999,0.059999999999999984
0.5,0.07575757575757576,10.0,0.09,0.095,0.08666666666666664,0.09,0.08400000000000002,0.085,0.08285714285714288,0.07875,0.07555555555555551,0.07499999999999996,0.009,0.019000000000000003,0.02600000000000001,0.03600000000000002,0.04200000000000001,0.05099999999999999,0.05799999999999998,0.06299999999999999,0.06799999999999998,0.07499999999999996
0.5,0.08080808080808081,10.0,0.05,0.045,0.059999999999999984,0.0675,0.06200000000000003,0.06500000000000003,0.06857142857142862,0.06875,0.07111111111111104,0.07099999999999994,0.005,0.009,0.018000000000000006,0.02700000000000001,0.031000000000000014,0.039000000000000014,0.04799999999999999,0.05499999999999997,0.06399999999999995,0.07099999999999994
0.5,0.08585858585858587,10.0,0.13,0.085,0.0833333333333333,0.0825,0.08600000000000002,0.08333333333333336,0.07428571428571433,0.06875,0.07333333333333326,0.07599999999999996,0.013000000000000001,0.017000000000000005,0.02500000000000001,0.03300000000000002,0.04300000000000001,0.04999999999999998,0.051999999999999984,0.05499999999999998,0.06599999999999995,0.07599999999999996
0.5,0.09090909090909091,10.0,0.08,0.075,0.07666666666666663,0.0725,0.060000000000000026,0.05666666666666667,0.05571428571428573,0.05875,0.05888888888888885,0.060999999999999964,0.008,0.015000000000000003,0.02300000000000001,0.029000000000000012,0.030000000000000013,0.034000000000000016,0.03900000000000002,0.04699999999999999,0.05299999999999999,0.060999999999999964
0.5,0.09595959595959597,10.0,0.09,0.1,0.1,0.09,0.08800000000000001,0.09166666666666662,0.09142857142857144,0.0875,0.08999999999999993,0.08499999999999995,0.009,0.020000000000000007,0.030000000000000013,0.03600000000000002,0.044000000000000004,0.05499999999999997,0.06399999999999996,0.06999999999999995,0.08099999999999996,0.08499999999999995
0.5,0.10101010101010102,10.0,0.12,0.09,0.0733333333333333,0.0675,0.062000000000000034,0.06000000000000001,0.06571428571428574,0.06375,0.0633333333333333,0.061999999999999986,0.012,0.018000000000000006,0.022000000000000006,0.027000000000000014,0.031000000000000017,0.03600000000000002,0.046000000000000006,0.051000000000000004,0.05699999999999998,0.061999999999999986
0.5,0.10606060606060606,10.0,0.16,0.125,0.11333333333333333,0.1025,0.1,0.09499999999999996,0.08857142857142859,0.0875,0.08888888888888882,0.08799999999999995,0.016000000000000004,0.025000000000000012,0.03400000000000002,0.041000000000000016,0.05,0.056999999999999995,0.06199999999999997,0.06999999999999997,0.07999999999999995,0.08799999999999995
0.5,0.11111111111111112,10.0,0.11,0.1,0.0833333333333333,0.0725,0.08000000000000003,0.0783333333333334,0.08000000000000007,0.0825,0.0788888888888888,0.08299999999999993,0.011,0.020000000000000004,0.02500000000000001,0.029000000000000012,0.040000000000000015,0.04699999999999999,0.055999999999999966,0.06599999999999995,0.07099999999999994,0.08299999999999993
0.5,0.11616161616161617,10.0,0.09,0.075,0.07999999999999997,0.0775,0.08000000000000003,0.08166666666666668,0.08000000000000006,0.08375,0.08777777777777769,0.08899999999999995,0.009,0.015000000000000003,0.02400000000000001,0.031000000000000014,0.040000000000000015,0.048999999999999995,0.05599999999999998,0.06699999999999996,0.07899999999999995,0.08899999999999995
