,$p_{ij}$,test,power
153,0.5352828282828282,mann-whitney,0.118
154,0.5453636363636364,mann-whitney,0.122
155,0.5554444444444444,mann-whitney,0.137
156,0.5655252525252525,mann-whitney,0.13
157,0.5756060606060606,mann-whitney,0.126
158,0.5856868686868687,mann-whitney,0.145
159,0.5957676767676767,mann-whitney,0.121
160,0.6058484848484849,mann-whitney,0.137
161,0.6159292929292929,mann-whitney,0.131
162,0.626010101010101,mann-whitney,0.141
163,0.636090909090909,mann-whitney,0.115
164,0.6461717171717172,mann-whitney,0.104
165,0.6562525252525253,mann-whitney,0.128
166,0.6663333333333333,mann-whitney,0.122
167,0.6764141414141415,mann-whitney,0.108
168,0.6864949494949495,mann-whitney,0.128
169,0.6965757575757576,mann-whitney,0.111
170,0.7066565656565656,mann-whitney,0.111
171,0.7167373737373738,mann-whitney,0.116
172,0.7268181818181818,mann-whitney,0.094
173,0.7368989898989899,mann-whitney,0.123
174,0.746979797979798,mann-whitney,0.1
175,0.7570606060606061,mann-whitney,0.099
176,0.7671414141414141,mann-whitney,0.104
177,0.7772222222222223,mann-whitney,0.122
178,0.7873030303030303,mann-whitney,0.097
179,0.7973838383838384,mann-whitney,0.089
180,0.8074646464646464,mann-whitney,0.105
181,0.8175454545454546,mann-whitney,0.118
182,0.8276262626262626,mann-whitney,0.105
183,0.8377070707070707,mann-whitney,0.098
184,0.8477878787878788,mann-whitney,0.103
185,0.8578686868686869,mann-whitney,0.099
186,0.8679494949494949,mann-whitney,0.087
187,0.878030303030303,mann-whitney,0.081
188,0.8881111111111111,mann-whitney,0.093
189,0.8981919191919192,mann-whitney,0.08
190,0.9082727272727272,mann-whitney,0.076
191,0.9183535353535354,mann-whitney,0.061
192,0.9284343434343434,mann-whitney,0.057
193,0.9385151515151515,mann-whitney,0.066
194,0.9485959595959595,mann-whitney,0.052
195,0.9586767676767677,mann-whitney,0.046
196,0.9687575757575758,mann-whitney,0.035
197,0.9788383838383838,mann-whitney,0.027
198,0.988919191919192,mann-whitney,0.021
199,0.999,mann-whitney,0.015
200,0.001,fisher,0.0
201,0.01108080808080808,fisher,0.0
202,0.021161616161616163,fisher,0.0
