m,mean1,mean2,var_1,var_2,ttest_ind_precision_at_5,ttest_ind_precision_at_6,ttest_ind_precision_at_7,ttest_ind_precision_at_8,ttest_ind_precision_at_9,ttest_ind_precision_at_10,wilcoxon_precision_at_5,wilcoxon_precision_at_6,wilcoxon_precision_at_7,wilcoxon_precision_at_8,wilcoxon_precision_at_9,wilcoxon_precision_at_10,mannwhitneyu_precision_at_5,mannwhitneyu_precision_at_6,mannwhitneyu_precision_at_7,mannwhitneyu_precision_at_8,mannwhitneyu_precision_at_9,mannwhitneyu_precision_at_10,ttest_ind_recall_at_5,ttest_ind_recall_at_6,ttest_ind_recall_at_7,ttest_ind_recall_at_8,ttest_ind_recall_at_9,ttest_ind_recall_at_10,wilcoxon_recall_at_5,wilcoxon_recall_at_6,wilcoxon_recall_at_7,wilcoxon_recall_at_8,wilcoxon_recall_at_9,wilcoxon_recall_at_10,mannwhitneyu_recall_at_5,mannwhitneyu_recall_at_6,mannwhitneyu_recall_at_7,mannwhitneyu_recall_at_8,mannwhitneyu_recall_at_9,mannwhitneyu_recall_at_10,multiscale_graphcorr_precision_at_5,multiscale_graphcorr_precision_at_6,multiscale_graphcorr_precision_at_7,multiscale_graphcorr_precision_at_8,multiscale_graphcorr_precision_at_9,multiscale_graphcorr_precision_at_10,multiscale_graphcorr_recall_at_5,multiscale_graphcorr_recall_at_6,multiscale_graphcorr_recall_at_7,multiscale_graphcorr_recall_at_8,multiscale_graphcorr_recall_at_9,multiscale_graphcorr_recall_at_10
360,0,0,0.5,0.5,0.04800000000000002,0.04999999999999998,0.04857142857142857,0.05125,0.052222222222222205,0.05199999999999999,0.04800000000000002,0.05333333333333334,0.0542857142857143,0.0525,0.056666666666666636,0.06199999999999997,0.04600000000000001,0.046666666666666655,0.04428571428571428,0.04625,0.048888888888888885,0.053999999999999986,0.02400000000000001,0.030000000000000013,0.034000000000000016,0.041000000000000016,0.04700000000000002,0.05199999999999999,0.02400000000000001,0.032000000000000015,0.03800000000000002,0.04200000000000001,0.051,0.06199999999999997,0.02300000000000001,0.02800000000000001,0.031000000000000014,0.03700000000000002,0.04400000000000002,0.053999999999999986,0.03400000000000001,0.03499999999999999,0.03857142857142856,0.04625,0.04666666666666667,0.04400000000000001,0.017000000000000005,0.021000000000000005,0.02700000000000001,0.03700000000000001,0.04200000000000001,0.04400000000000001
360,0,0,0.5,0.55,0.06800000000000002,0.0666666666666667,0.06571428571428575,0.06,0.05888888888888884,0.05399999999999998,0.07200000000000004,0.0666666666666667,0.06428571428571432,0.0625,0.056666666666666636,0.05499999999999998,0.07200000000000004,0.07000000000000002,0.06714285714285717,0.06625,0.05999999999999996,0.056999999999999974,0.034000000000000016,0.04000000000000002,0.046,0.04799999999999999,0.052999999999999985,0.05399999999999998,0.03600000000000002,0.04000000000000002,0.04500000000000001,0.04999999999999999,0.05099999999999999,0.05499999999999998,0.03600000000000002,0.04200000000000001,0.046999999999999986,0.05299999999999997,0.05399999999999998,0.056999999999999974,0.07000000000000002,0.06500000000000003,0.06428571428571432,0.0625,0.05777777777777774,0.05699999999999996,0.03500000000000002,0.03900000000000002,0.045,0.04999999999999998,0.051999999999999984,0.05699999999999996
360,0,0,0.5,0.6,0.03800000000000001,0.03333333333333332,0.03285714285714285,0.0375,0.042222222222222223,0.04200000000000001,0.03800000000000001,0.038333333333333316,0.03857142857142856,0.0375,0.03555555555555557,0.034000000000000016,0.03800000000000001,0.03333333333333332,0.035714285714285705,0.03625,0.038888888888888896,0.03700000000000002,0.01900000000000001,0.020000000000000004,0.02300000000000001,0.03000000000000002,0.03800000000000002,0.04200000000000001,0.01900000000000001,0.02300000000000001,0.02700000000000001,0.030000000000000013,0.032000000000000015,0.034000000000000016,0.01900000000000001,0.02000000000000001,0.02500000000000001,0.029000000000000005,0.03500000000000002,0.03700000000000002,0.15999999999999992,0.14499999999999993,0.12999999999999998,0.11875,0.10888888888888876,0.1039999999999999,0.07999999999999996,0.08699999999999994,0.09099999999999993,0.09499999999999993,0.09799999999999992,0.1039999999999999
360,0,0,0.5,0.65,0.05600000000000002,0.05000000000000001,0.04857142857142857,0.04625,0.04777777777777778,0.05,0.04600000000000002,0.04666666666666666,0.047142857142857146,0.0475,0.04555555555555555,0.04400000000000001,0.04400000000000001,0.05,0.04714285714285713,0.04875,0.04666666666666667,0.049000000000000016,0.02800000000000001,0.030000000000000013,0.03400000000000001,0.03700000000000002,0.04300000000000001,0.05,0.02300000000000001,0.02800000000000001,0.033000000000000015,0.03800000000000002,0.041000000000000016,0.04400000000000001,0.02200000000000001,0.030000000000000013,0.033000000000000015,0.03900000000000002,0.04200000000000001,0.049000000000000016,0.4059999999999999,0.3616666666666667,0.32999999999999985,0.30375,0.2799999999999996,0.262,0.203,0.217,0.231,0.243,0.252,0.262
360,0,0,0.5,0.7,0.04800000000000002,0.04833333333333333,0.0457142857142857,0.04875,0.05000000000000001,0.04800000000000002,0.05000000000000002,0.045,0.03857142857142856,0.04375,0.04999999999999998,0.049,0.05000000000000002,0.04999999999999999,0.0457142857142857,0.0475,0.048888888888888885,0.05000000000000002,0.02400000000000001,0.029000000000000005,0.032000000000000015,0.03900000000000002,0.04500000000000002,0.04800000000000002,0.02500000000000001,0.02700000000000001,0.02700000000000001,0.03500000000000002,0.045,0.049,0.02500000000000001,0.030000000000000013,0.032000000000000015,0.038000000000000034,0.04400000000000002,0.05000000000000002,0.7499999999999994,0.7050000000000005,0.6671428571428569,0.6275,0.5844444444444447,0.5410000000000003,0.3749999999999997,0.4229999999999998,0.4669999999999999,0.502,0.5260000000000001,0.5410000000000003
360,0,0,0.5,0.75,0.04600000000000001,0.044999999999999984,0.047142857142857146,0.04875,0.05111111111111108,0.04999999999999998,0.04600000000000001,0.04333333333333332,0.04428571428571428,0.0425,0.046666666666666655,0.04799999999999999,0.04600000000000001,0.044999999999999984,0.045714285714285714,0.0475,0.048888888888888864,0.04799999999999999,0.02300000000000001,0.02700000000000001,0.033000000000000015,0.03900000000000002,0.046,0.04999999999999998,0.02300000000000001,0.02600000000000001,0.031000000000000014,0.034000000000000016,0.04200000000000001,0.04799999999999999,0.02300000000000001,0.02700000000000001,0.032000000000000015,0.038000000000000034,0.04400000000000001,0.04799999999999999,0.9039999999999994,0.8883333333333332,0.8685714285714283,0.8525,0.8277777777777767,0.79,0.4519999999999997,0.5330000000000004,0.6080000000000007,0.6820000000000006,0.745,0.79
360,0,0,0.5,0.8,0.04400000000000001,0.04333333333333332,0.05000000000000001,0.04875,0.048888888888888885,0.05,0.05400000000000002,0.04833333333333333,0.047142857142857146,0.045,0.047777777777777766,0.048000000000000015,0.05600000000000002,0.05333333333333333,0.051428571428571435,0.04625,0.046666666666666655,0.045,0.02200000000000001,0.026000000000000013,0.035000000000000024,0.03900000000000002,0.04400000000000001,0.05,0.02700000000000001,0.029000000000000005,0.033000000000000015,0.03600000000000001,0.04300000000000001,0.048000000000000015,0.02800000000000001,0.03200000000000002,0.03600000000000002,0.03700000000000002,0.042000000000000016,0.045,0.9699999999999998,0.9583333333333331,0.9442857142857144,0.93,0.9099999999999988,0.8760000000000002,0.4849999999999999,0.5750000000000007,0.6610000000000009,0.7439999999999998,0.8190000000000001,0.8760000000000002
360,0,0,0.5,0.8500000000000001,0.06200000000000003,0.061666666666666675,0.054285714285714284,0.0475,0.04555555555555555,0.04200000000000001,0.05200000000000002,0.04833333333333332,0.04285714285714285,0.045,0.042222222222222223,0.04000000000000002,0.05400000000000002,0.04833333333333333,0.05,0.04875,0.04555555555555557,0.04500000000000001,0.031000000000000014,0.03700000000000002,0.03800000000000002,0.03800000000000002,0.041000000000000016,0.04200000000000001,0.02600000000000001,0.029000000000000005,0.030000000000000013,0.03600000000000002,0.03800000000000002,0.04000000000000002,0.02700000000000001,0.029000000000000012,0.03500000000000002,0.03900000000000002,0.041000000000000016,0.04500000000000001,0.992,0.9883333333333332,0.9871428571428572,0.97875,0.9655555555555552,0.9310000000000004,0.496,0.5930000000000009,0.6910000000000012,0.7829999999999991,0.8689999999999999,0.9310000000000004
360,0,0,0.5,0.9,0.08000000000000003,0.07166666666666671,0.07000000000000005,0.0675,0.06555555555555549,0.06799999999999995,0.07400000000000002,0.0716666666666667,0.07428571428571434,0.07125,0.06888888888888882,0.06699999999999992,0.07400000000000002,0.0716666666666667,0.07000000000000005,0.07,0.06999999999999992,0.06799999999999995,0.04000000000000002,0.04300000000000001,0.049,0.05399999999999999,0.058999999999999976,0.06799999999999995,0.03700000000000001,0.043,0.051999999999999984,0.056999999999999974,0.06199999999999995,0.06699999999999992,0.03700000000000001,0.04300000000000001,0.049,0.055999999999999966,0.06299999999999996,0.06799999999999995,0.996,0.9966666666666668,0.9957142857142856,0.995,0.9866666666666662,0.9600000000000004,0.498,0.598000000000001,0.6970000000000013,0.7959999999999987,0.8880000000000003,0.9600000000000004
360,0,0,0.5,0.95,0.05400000000000002,0.05166666666666666,0.05,0.04875,0.04555555555555555,0.049000000000000016,0.046000000000000006,0.04666666666666667,0.045714285714285714,0.0475,0.04999999999999999,0.05,0.05600000000000002,0.05666666666666668,0.055714285714285716,0.0525,0.0511111111111111,0.049,0.02700000000000001,0.031000000000000014,0.03500000000000002,0.03900000000000002,0.041000000000000016,0.049000000000000016,0.023000000000000003,0.02800000000000001,0.032000000000000015,0.03800000000000002,0.04500000000000001,0.05,0.02800000000000001,0.034000000000000016,0.03900000000000002,0.042000000000000016,0.046000000000000006,0.049,0.998,0.9983333333333332,0.9985714285714288,0.9975,0.9955555555555554,0.983,0.499,0.599000000000001,0.6990000000000012,0.7979999999999986,0.8960000000000008,0.983
