m,mean1,mean2,var_1,var_2,multiscale_graphcorr_precision_at_5,multiscale_graphcorr_precision_at_6,multiscale_graphcorr_precision_at_7,multiscale_graphcorr_precision_at_8,multiscale_graphcorr_precision_at_9,multiscale_graphcorr_precision_at_10,multiscale_graphcorr_recall_at_5,multiscale_graphcorr_recall_at_6,multiscale_graphcorr_recall_at_7,multiscale_graphcorr_recall_at_8,multiscale_graphcorr_recall_at_9,multiscale_graphcorr_recall_at_10
10,0,0,0.5,1.2000000000000002,0.09,0.08666666666666668,0.08714285714285719,0.0875,0.08666666666666661,0.08299999999999998,0.045,0.051999999999999984,0.06099999999999997,0.06999999999999998,0.07799999999999997,0.08299999999999998
10,0,0,0.5,1.25,0.11799999999999994,0.11666666666666665,0.11142857142857152,0.10125,0.1022222222222221,0.09699999999999992,0.05899999999999997,0.06999999999999995,0.07799999999999996,0.08099999999999996,0.09199999999999992,0.09699999999999992
10,0,0,0.5,1.3,0.08200000000000003,0.08166666666666668,0.08000000000000003,0.0825,0.07999999999999993,0.08199999999999996,0.041000000000000016,0.04899999999999999,0.05599999999999999,0.06599999999999998,0.07199999999999998,0.08199999999999996
10,0,0,0.5,1.35,0.12399999999999993,0.12499999999999993,0.1157142857142857,0.11,0.10888888888888879,0.10699999999999996,0.061999999999999965,0.07499999999999997,0.08099999999999997,0.08799999999999997,0.09799999999999995,0.10699999999999996
10,0,0,0.5,1.4,0.10399999999999997,0.10333333333333332,0.10142857142857147,0.1025,0.09666666666666655,0.0969999999999999,0.051999999999999984,0.06199999999999999,0.071,0.08199999999999998,0.08699999999999994,0.0969999999999999
10,0,0,0.5,1.4500000000000002,0.1399999999999999,0.1283333333333333,0.12000000000000002,0.1175,0.11444444444444433,0.10899999999999992,0.06999999999999995,0.07699999999999994,0.08399999999999995,0.09399999999999993,0.10299999999999992,0.10899999999999992
10,0,0,0.5,1.5,0.11399999999999993,0.10166666666666664,0.10285714285714288,0.10375,0.09555555555555544,0.09499999999999989,0.05699999999999997,0.06099999999999995,0.07199999999999993,0.08299999999999992,0.08599999999999992,0.09499999999999989
10,0,0,0.5,1.55,0.14399999999999996,0.14,0.1342857142857143,0.12375,0.11555555555555543,0.11199999999999992,0.07199999999999998,0.08399999999999999,0.09399999999999993,0.09899999999999994,0.10399999999999991,0.11199999999999992
10,0,0,0.5,1.6,0.13199999999999992,0.1383333333333333,0.12571428571428575,0.11875,0.11111111111111102,0.10699999999999993,0.06599999999999996,0.08299999999999998,0.08799999999999994,0.09499999999999993,0.09999999999999992,0.10699999999999993
10,0,0,0.5,1.6500000000000001,0.16399999999999995,0.14666666666666667,0.14142857142857146,0.13375,0.13111111111111096,0.12599999999999992,0.08199999999999998,0.08799999999999994,0.09899999999999992,0.10699999999999989,0.11799999999999992,0.12599999999999992
10,0,0,0.5,1.7000000000000002,0.13599999999999995,0.13499999999999995,0.1285714285714286,0.12,0.11777777777777765,0.10999999999999992,0.06799999999999998,0.08099999999999997,0.08999999999999994,0.09599999999999992,0.10599999999999993,0.10999999999999992
