m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_2_ks_2samp,omni_precision_2_mannwhitneyu,omni_precision_2_ttest_ind,omni_recall_2_ks_2samp,omni_recall_2_mannwhitneyu,omni_recall_2_ttest_ind,omni_precision_3_ks_2samp,omni_precision_3_mannwhitneyu,omni_precision_3_ttest_ind,omni_recall_3_ks_2samp,omni_recall_3_mannwhitneyu,omni_recall_3_ttest_ind,omni_precision_4_ks_2samp,omni_precision_4_mannwhitneyu,omni_precision_4_ttest_ind,omni_recall_4_ks_2samp,omni_recall_4_mannwhitneyu,omni_recall_4_ttest_ind,mase_precision_2_ks_2samp,mase_precision_2_mannwhitneyu,mase_precision_2_ttest_ind,mase_recall_2_ks_2samp,mase_recall_2_mannwhitneyu,mase_recall_2_ttest_ind,mase_precision_3_ks_2samp,mase_precision_3_mannwhitneyu,mase_precision_3_ttest_ind,mase_recall_3_ks_2samp,mase_recall_3_mannwhitneyu,mase_recall_3_ttest_ind,mase_precision_4_ks_2samp,mase_precision_4_mannwhitneyu,mase_precision_4_ttest_ind,mase_recall_4_ks_2samp,mase_recall_4_mannwhitneyu,mase_recall_4_ttest_ind
10,0,0,0.25,0.25,0.66,0,0.9729729729729729,0.9394594594594594,0.9864864864864864,1.0,1.0,1.0,0.9237998649529114,0.8556501441871878,0.9273951873154972,1.0,1.0,1.0,0.7193397129273736,0.6459653223041991,0.7167266981797553,0.9996,0.9996,0.9996,0.62403750689465,0.6005239933811365,0.6375510204081636,1.0,1.0,1.0,0.9389429260426079,0.84946582708135,0.9404484146177134,1.0,1.0,1.0,0.7527184836579874,0.7183670852831437,0.7710649687327374,0.9992666666666667,0.9992666666666667,0.9999333333333333
245,0,0,0.25,0.25,0.12,0,0.9464864864864865,0.9329729729729729,0.9564864864864865,1.0,1.0,1.0,0.932575260804769,0.8902577793985043,0.9134791661988385,1.0,1.0,1.0,0.7345880285578528,0.6490460926411514,0.7112295778982065,0.9996,0.9996,0.9996,0.7005823792931808,0.6735553522661537,0.6970688657796673,1.0,1.0,1.0,0.9130724421169433,0.8796888587819189,0.9064603393520393,0.9999333333333333,0.9999333333333333,0.9999333333333333,0.7713057021895806,0.6829143773491034,0.7467829546961419,1.0,1.0,1.0
10,0,0,0.25,0.25,0.86,0,0.9194594594594595,0.8908439051296193,0.94138444567016,1.0,1.0,1.0,0.8383045928901204,0.7763829642352212,0.8161872408793304,1.0,1.0,1.0,0.6717034490915641,0.5757569604088916,0.62817588345867,0.9997333333333333,0.9997333333333333,0.9997333333333333,0.716442360728075,0.687826806398235,0.7383673469387756,1.0,1.0,1.0,0.911509612482972,0.8525518272893551,0.9113335158362871,1.0,1.0,1.0,0.7258035302260544,0.7034698494077837,0.7339677310142236,0.9999333333333333,1.0,1.0
240,0,0,0.25,0.25,0.9400000000000001,0,0.9429729729729729,0.8638168781025922,0.9294594594594594,1.0,1.0,1.0,0.8489756595186563,0.7494616766584599,0.851545138729442,1.0,1.0,1.0,0.6187483129310886,0.5500467254052074,0.5784553038846242,1.0,1.0,1.0,0.6471004844426773,0.6277656393935466,0.632867680209873,1.0,1.0,1.0,0.9502752865307303,0.8798135711464924,0.9431468253968253,1.0,1.0,1.0,0.7348121736521043,0.6731647506292526,0.7157213988788242,1.0,1.0,1.0
15,0,0,0.25,0.25,0.04,0,0.14976141519092098,0.24614238969715313,0.24194843127549637,0.2584666666666667,0.5651333333333333,0.4824666666666667,0.2528107056278681,0.27823283682391853,0.2722738024445484,0.2695333333333333,0.4106666666666666,0.36926666666666663,0.25784602165178977,0.31172811106562426,0.28745467512113065,0.22186666666666663,0.41406666666666675,0.33306666666666657,0.1545113199119625,0.24538002880221,0.23363881467258962,0.2754666666666667,0.47639999999999993,0.44919999999999993,0.22141121525557178,0.2546325834686392,0.23518216265711478,0.229,0.3738,0.33953333333333335,0.1792549744603086,0.24713940276601698,0.24129432204179058,0.16819999999999996,0.3094666666666666,0.23573333333333338
240,0,0,0.25,0.25,0.74,0,0.9564864864864865,0.8729729729729729,0.9264864864864865,1.0,1.0,1.0,0.853937401084271,0.7573318343165829,0.7919954451014487,1.0,1.0,1.0,0.661455679766003,0.5897546537539586,0.6526485387241118,1.0,1.0,1.0,0.7434693877551021,0.6799558742415885,0.7334693877551021,1.0,1.0,1.0,0.931461914849777,0.811192337964281,0.9205444151986854,1.0,1.0,1.0,0.7156237590292699,0.6663915757204459,0.7152411508826384,1.0,1.0,1.0
15,0,0,0.25,0.25,0.24,0,0.9429729729729729,0.8808439051296193,0.9529729729729729,1.0,1.0,1.0,0.9394763563180224,0.8995275153280876,0.9507992007992008,0.9999333333333333,0.9999333333333333,0.9999333333333333,0.7852994692375901,0.7136085348896554,0.8160820570285865,0.9984666666666666,0.9999333333333333,0.9999333333333333,0.5758191594554454,0.5323056459419319,0.5758784652290369,0.9969333333333332,0.9969333333333332,0.9962666666666666,0.892732445882685,0.8610773283622878,0.8906846120091839,0.9995999999999999,0.9995999999999999,0.9995999999999999,0.7450111142643641,0.6990592912845192,0.7597982631942205,0.9947333333333331,0.9985333333333333,0.9975999999999999
240,0,0,0.25,0.25,0.54,0,0.9159459459459458,0.8941533370104798,0.9294594594594594,1.0,1.0,1.0,0.8909975531714664,0.8481356633965329,0.9026179327918458,1.0,1.0,1.0,0.6475952361702632,0.6144831680041648,0.6380256267811611,1.0,1.0,1.0,0.6760341974627689,0.6593436293436296,0.6795477109762825,1.0,1.0,1.0,0.9240959346004929,0.883775815828382,0.9366577619602799,1.0,1.0,1.0,0.7639083157361626,0.7177472652403525,0.7706592310311008,1.0,1.0,1.0
15,0,0,0.25,0.25,0.44,0,0.9294594594594594,0.8408439051296195,0.9178709321566464,1.0,1.0,1.0,0.9596510606500892,0.8007072213107257,0.881336446517265,1.0,1.0,1.0,0.6788871926893152,0.6160411847687589,0.649442422096091,0.9961333333333333,0.9984666666666666,0.9984666666666666,0.7046754063033136,0.6795007632216936,0.7265277902487207,1.0,1.0,1.0,0.8568648994406116,0.7843778509493932,0.8780268637670254,0.9999333333333333,1.0,1.0,0.6972762064143576,0.6361230174227063,0.6910339185891493,0.9995333333333334,0.9996,0.9996
240,0,0,0.25,0.25,0.34,0,0.8954054054054054,0.8818918918918918,0.9359459459459458,1.0,1.0,1.0,0.9483106446776612,0.8750090704326087,0.9079833678398895,1.0,1.0,1.0,0.7034510508398861,0.6490768278834952,0.6861128122933845,1.0,1.0,1.0,0.7245173745173747,0.6974903474903477,0.7380308880308881,1.0,1.0,1.0,0.875405915548686,0.8459689481816305,0.9159266132447005,1.0,1.0,1.0,0.6721367101368352,0.6314979933993417,0.6848799999976927,0.9999333333333333,0.9999333333333333,0.9999333333333333
