m,p,delta,omni_precision_2,omni_recall_2,mase_precision_2,mase_recall_2
5.0,0.5,0.37,0.5919687487278612,0.7412666666666666,0.4331910479696295,0.5923333333333335
5.0,0.5,0.38,0.7012889597581542,0.8109333333333332,0.4762760003769145,0.6472666666666669
5.0,0.5,0.39,0.7851046743340335,0.8575333333333333,0.4897242003999008,0.6604000000000002
5.0,0.5,0.4,0.8726564215490216,0.9132,0.5294855568639223,0.7002666666666667
5.0,0.5,0.41,0.9243961199161832,0.9404666666666666,0.5151959307686412,0.7043999999999998
5.0,0.5,0.42,0.9021644127592736,0.9543333333333334,0.6012985158180466,0.7355333333333334
5.0,0.5,0.43,0.9597739658715267,0.9866666666666668,0.6542892983083556,0.7595333333333333
5.0,0.5,0.44,0.9488584844545409,0.9648666666666668,0.5861058583543477,0.7530000000000001
5.0,0.5,0.45,1.0,1.0,0.6909971988153439,0.8225333333333336
5.0,0.5,0.46,1.0,1.0,0.5504573655174564,0.6400666666666669
5.0,0.5,0.47,0.984992,0.9904,0.6904604003745365,0.7923333333333334
5.0,0.5,0.48,1.0,1.0,0.6966462530471224,0.8140000000000001
5.0,0.5,0.49,1.0,1.0,0.8400035970561459,0.9082
5.0,0.5,0.5,1.0,1.0,0.7577671941925821,0.8504666666666669
10.0,0.5,0.0,0.2370795788136263,0.321,0.2485296843954945,0.35600000000000004
10.0,0.5,0.01,0.241453298036236,0.3079333333333334,0.24954439973687145,0.31720000000000004
10.0,0.5,0.02,0.24642679588748315,0.41,0.250770980098134,0.3440000000000001
10.0,0.5,0.03,0.25490618668098863,0.3617333333333335,0.2402422112478215,0.3732
10.0,0.5,0.04,0.2675158543072221,0.4059333333333334,0.2657632974812464,0.3910666666666669
10.0,0.5,0.05,0.2544999006118049,0.3747333333333332,0.2561017880737899,0.3685999999999999
10.0,0.5,0.06,0.2825928141859059,0.4036000000000002,0.2522141787324876,0.3880666666666665
10.0,0.5,0.07,0.2941847768670309,0.4326666666666668,0.2773977134663973,0.4294666666666666
10.0,0.5,0.08,0.2681201210267548,0.4159999999999999,0.2859360474372344,0.4596666666666666
10.0,0.5,0.09,0.2784180217491392,0.4608666666666666,0.28508216615035026,0.4519333333333332
10.0,0.5,0.1,0.2726870380914107,0.4821333333333333,0.2748586996472425,0.4174
10.0,0.5,0.11,0.29220267143549,0.4792,0.2961511021196812,0.4723333333333333
10.0,0.5,0.12,0.2968716303887499,0.4804666666666668,0.2879148200135105,0.5
10.0,0.5,0.13,0.3123154022000421,0.4703999999999999,0.30890649025459804,0.4744666666666668
10.0,0.5,0.14,0.3045808390399357,0.4755333333333335,0.3020819503039218,0.4589333333333333
10.0,0.5,0.15,0.31024127064838297,0.4589333333333333,0.3457180269584921,0.5327999999999998
10.0,0.5,0.16,0.3486667682540618,0.4594,0.3315142047829561,0.5216666666666667
10.0,0.5,0.17,0.2850961591655331,0.5036666666666666,0.3272609414757515,0.4872666666666665
10.0,0.5,0.18,0.3519521062339775,0.5105333333333332,0.317059914948649,0.5178666666666666
10.0,0.5,0.19,0.32540190749149084,0.496,0.34544830233338475,0.5286
10.0,0.5,0.2,0.3731189908460068,0.5691333333333334,0.3959967291651107,0.5594666666666668
10.0,0.5,0.21,0.365073876684094,0.5351333333333335,0.33664299715018026,0.5301333333333332
10.0,0.5,0.22,0.38611289635120577,0.5355333333333331,0.3691636003174645,0.5578
10.0,0.5,0.23,0.3715187196187405,0.525,0.3491440641810037,0.5402000000000001
10.0,0.5,0.24,0.3335887440149248,0.5254666666666666,0.3772784368453085,0.5789999999999998
10.0,0.5,0.25,0.4081340080929131,0.5798000000000001,0.3497477848809076,0.5494
10.0,0.5,0.26,0.3649144828610472,0.5490666666666665,0.3983101969208738,0.6004666666666665
10.0,0.5,0.27,0.44911239948993975,0.5982666666666666,0.4013528523467848,0.6274000000000002
10.0,0.5,0.28,0.4228408246880279,0.5811999999999999,0.40064674097174985,0.6055999999999999
10.0,0.5,0.29,0.4982738639771511,0.6555333333333331,0.4890232811982893,0.6495333333333333
10.0,0.5,0.3,0.4421040545976338,0.5950666666666667,0.4447808525936581,0.6533333333333334
10.0,0.5,0.31,0.6506153759889289,0.7393333333333332,0.4436974706175421,0.6244
10.0,0.5,0.32,0.7637906224446118,0.8383333333333333,0.453524517238221,0.6403333333333332
10.0,0.5,0.33,0.7939596446125522,0.8386666666666666,0.4633327358359424,0.6895333333333333
10.0,0.5,0.34,0.8497519687107922,0.8918,0.5443367382455425,0.6867333333333336
10.0,0.5,0.35000000000000003,0.9567748515851964,0.9634666666666668,0.4675817815415229,0.6461999999999999
10.0,0.5,0.36,0.9755649979649978,0.9781333333333332,0.5222698124247629,0.7188666666666665
10.0,0.5,0.37,1.0,1.0,0.5576817786802984,0.7076
10.0,0.5,0.38,1.0,1.0,0.43572891993910745,0.6466
10.0,0.5,0.39,0.9984615384615384,1.0,0.5697282949098682,0.7464666666666667
10.0,0.5,0.4,1.0,1.0,0.6019496526463515,0.7464000000000002
10.0,0.5,0.41,1.0,1.0,0.6688647637754354,0.8047333333333333
10.0,0.5,0.42,1.0,1.0,0.7188478143764696,0.8536666666666668
10.0,0.5,0.43,1.0,1.0,0.6999925403030062,0.8233333333333333
10.0,0.5,0.44,1.0,1.0,0.7654182025666796,0.8284
10.0,0.5,0.45,1.0,1.0,0.8370874017359489,0.9248666666666666
10.0,0.5,0.46,1.0,1.0,0.735519947949297,0.8455333333333335
10.0,0.5,0.47,1.0,1.0,0.779966711228188,0.9008666666666668
10.0,0.5,0.48,1.0,1.0,0.9280460882466496,0.9733333333333332
10.0,0.5,0.49,1.0,1.0,0.9187661165925904,0.953
10.0,0.5,0.5,1.0,1.0,0.8998964240814112,0.9728666666666668
15.0,0.5,0.0,0.2356089807505584,0.3384,0.2594737996548851,0.3369333333333333
15.0,0.5,0.01,0.2522465847547111,0.3290000000000001,0.2454430119325214,0.3707333333333333
15.0,0.5,0.02,0.26846823336626385,0.3399333333333333,0.23596138179769305,0.3330000000000001
15.0,0.5,0.03,0.24047571657463646,0.34586666666666666,0.2559228723197984,0.3648
15.0,0.5,0.04,0.24930355500363305,0.3985333333333334,0.2633475480467312,0.4260666666666667
15.0,0.5,0.05,0.2744762478692281,0.4161333333333333,0.2577763780910354,0.3803333333333334
15.0,0.5,0.06,0.26422064424707786,0.4006,0.2676825485178485,0.4862666666666667
15.0,0.5,0.07,0.2807177536295613,0.40586666666666665,0.2869577942607309,0.4431333333333333
15.0,0.5,0.08,0.27259793143733,0.4566,0.2887399605335382,0.4433999999999999
15.0,0.5,0.09,0.3157511041580655,0.42526666666666657,0.285592720070722,0.4869333333333334
15.0,0.5,0.1,0.2935099675143175,0.4336666666666666,0.3558161046688474,0.4842666666666666
15.0,0.5,0.11,0.3133896914465782,0.5120666666666666,0.2872041222514106,0.4798666666666666
15.0,0.5,0.12,0.3085663922979772,0.4877333333333333,0.3105006175927784,0.4471333333333332
15.0,0.5,0.13,0.2901294677727603,0.4930666666666667,0.3013766980611127,0.4887333333333332
15.0,0.5,0.14,0.2876176354579373,0.5134666666666666,0.31893142722066986,0.5031333333333331
15.0,0.5,0.15,0.34883838767099795,0.4783333333333333,0.33722299921297066,0.5157333333333329
15.0,0.5,0.16,0.35492450254220403,0.4778,0.3100776689304803,0.5345333333333331
15.0,0.5,0.17,0.3115472580242115,0.5109999999999998,0.35718052270437456,0.5338
15.0,0.5,0.18,0.4067810988439177,0.5365999999999999,0.3806448940450427,0.5751333333333332
15.0,0.5,0.19,0.34885478207099163,0.5351333333333332,0.3684462886423027,0.5358000000000002
15.0,0.5,0.2,0.35476150171943177,0.5843333333333331,0.331354434105734,0.5181333333333332
15.0,0.5,0.21,0.37899239311380223,0.5515333333333333,0.3868759826064265,0.5792
15.0,0.5,0.22,0.39711541592590704,0.5726666666666665,0.4497263985540372,0.6308666666666667
15.0,0.5,0.23,0.4380012266327105,0.5779333333333333,0.370521706161643,0.5838666666666666
15.0,0.5,0.24,0.4500508509094579,0.5714666666666666,0.4357457858738836,0.6459333333333335
15.0,0.5,0.25,0.4018027295440088,0.5710666666666666,0.4058102962917242,0.6376666666666666
15.0,0.5,0.26,0.406253646834244,0.5557333333333332,0.4642604899074949,0.6590666666666667
15.0,0.5,0.27,0.4970867462228609,0.6346666666666666,0.4225143947053479,0.6572666666666666
15.0,0.5,0.28,0.5889551805870726,0.7045333333333336,0.4534629580463736,0.6531333333333333
15.0,0.5,0.29,0.7305445379253536,0.8085333333333332,0.4348096998971944,0.6178666666666665
15.0,0.5,0.3,0.8276004571193003,0.8902666666666668,0.438539573638,0.605
15.0,0.5,0.31,0.9238530566026028,0.9389333333333334,0.4665126718919839,0.6329999999999999
15.0,0.5,0.32,0.979753623188406,0.9762666666666666,0.5716129879475917,0.7292666666666666
15.0,0.5,0.33,1.0,1.0,0.5242295454546888,0.6877333333333333
15.0,0.5,0.34,0.9849358974358976,0.9902666666666669,0.3979183148884314,0.618
15.0,0.5,0.35000000000000003,0.9890666666666666,0.9890666666666666,0.5091695722598875,0.7115333333333332
15.0,0.5,0.36,1.0,1.0,0.5733763005543029,0.7257333333333332
15.0,0.5,0.37,1.0,1.0,0.5760513338888971,0.7382666666666665
15.0,0.5,0.38,1.0,1.0,0.6786871747208789,0.7770666666666667
15.0,0.5,0.39,1.0,1.0,0.5124217230609847,0.7160666666666665
15.0,0.5,0.4,1.0,1.0,0.6726939582778441,0.7917333333333336
15.0,0.5,0.41,1.0,1.0,0.7046951819136319,0.8355333333333335
15.0,0.5,0.42,1.0,1.0,0.6410329838937743,0.8412000000000002
15.0,0.5,0.43,1.0,1.0,0.845040928801098,0.9007333333333332
15.0,0.5,0.44,1.0,1.0,0.8361390282151646,0.9090666666666668
15.0,0.5,0.45,1.0,1.0,0.8911261150136329,0.9366
15.0,0.5,0.46,1.0,1.0,0.8600852187678245,0.9280666666666668
15.0,0.5,0.47,1.0,1.0,0.9072910798528152,0.9512000000000002
15.0,0.5,0.48,1.0,1.0,0.9295269746085014,0.9670666666666666
15.0,0.5,0.49,1.0,1.0,0.9696564860426928,0.9794666666666666
15.0,0.5,0.5,1.0,1.0,1.0,1.0
20.0,0.5,0.0,0.24357895466842405,0.3636666666666668,0.2301024843881297,0.3508666666666667
20.0,0.5,0.01,0.23068857172982846,0.3213333333333333,0.24166057895264398,0.3244666666666667
20.0,0.5,0.02,0.2658796565678983,0.3555333333333334,0.2585716639397809,0.35713333333333336
20.0,0.5,0.03,0.2632335703959093,0.3922666666666668,0.2790903464950911,0.3726
20.0,0.5,0.04,0.2496253494503513,0.3816,0.2844724382147356,0.4079999999999999
20.0,0.5,0.05,0.2750180976160481,0.4616,0.27557282013773343,0.4452666666666666
20.0,0.5,0.06,0.2781407852659802,0.44153333333333344,0.2904429744549256,0.43866666666666665
20.0,0.5,0.07,0.3008447367908332,0.4718,0.29536074870865553,0.4467333333333332
20.0,0.5,0.08,0.2682199383221443,0.4773333333333332,0.2769011170504395,0.4972666666666668
20.0,0.5,0.09,0.2998341718452382,0.4731333333333334,0.2873755259210809,0.4537333333333333
20.0,0.5,0.1,0.34420995933403903,0.4799999999999999,0.3182284925160317,0.4984666666666666
20.0,0.5,0.11,0.2868462502833701,0.4798666666666666,0.29096439708171784,0.4800666666666666
20.0,0.5,0.12,0.3279600487139347,0.497933333333333,0.346433713677402,0.5177333333333332
20.0,0.5,0.13,0.33459242125019345,0.5031333333333332,0.3270844052611088,0.5114666666666665
20.0,0.5,0.14,0.3443790595170277,0.5322666666666667,0.33833454258162826,0.5072666666666669
20.0,0.5,0.15,0.3348669573107996,0.4813333333333333,0.3714207525589026,0.563
20.0,0.5,0.16,0.3352338045950269,0.5038666666666667,0.3968403222246463,0.5667333333333333
20.0,0.5,0.17,0.3767193920271237,0.5146000000000001,0.3708649491456335,0.5241333333333335
20.0,0.5,0.18,0.4322762424481871,0.5334,0.31939388481394804,0.5257333333333335
20.0,0.5,0.19,0.3734278699454059,0.5396666666666668,0.3751069915133381,0.5430666666666665
20.0,0.5,0.2,0.3604154390753782,0.5135333333333334,0.4166065499580386,0.6262666666666665
20.0,0.5,0.21,0.43232182070860864,0.5699333333333334,0.42751900287387296,0.6082666666666668
20.0,0.5,0.22,0.418056348689764,0.5770666666666666,0.3775308304610243,0.5811999999999999
20.0,0.5,0.23,0.4408487873568966,0.5940666666666666,0.37645033121523297,0.5987333333333333
20.0,0.5,0.24,0.4042534557947568,0.5879333333333334,0.4158375400962286,0.6114000000000002
20.0,0.5,0.25,0.4886238999986056,0.6526666666666666,0.4210782613635649,0.5881999999999998
20.0,0.5,0.26,0.5909864332437089,0.7120666666666666,0.4750797932964078,0.6396000000000001
20.0,0.5,0.27,0.7432249038855846,0.8160666666666668,0.4465671176038255,0.6408
20.0,0.5,0.28,0.8418198798356471,0.8870666666666669,0.4677271859785658,0.6289999999999999
20.0,0.5,0.29,0.984928,0.9746666666666668,0.4283326680343664,0.6324666666666665
20.0,0.5,0.3,0.9338207921964731,0.9457333333333334,0.4879041035889382,0.6939333333333332
20.0,0.5,0.31,1.0,1.0,0.5440879237496393,0.7267333333333333
20.0,0.5,0.32,1.0,1.0,0.5125490942813938,0.7001999999999999
20.0,0.5,0.33,1.0,1.0,0.4823921678698365,0.6699333333333334
20.0,0.5,0.34,1.0,1.0,0.5680513030179858,0.7685333333333334
20.0,0.5,0.35000000000000003,1.0,1.0,0.5999307136639548,0.7690666666666666
20.0,0.5,0.36,1.0,1.0,0.5718122866140982,0.7946
20.0,0.5,0.37,1.0,1.0,0.6283114904553033,0.7782000000000001
20.0,0.5,0.38,1.0,1.0,0.574861329810712,0.7646666666666669
20.0,0.5,0.39,1.0,1.0,0.7283491931447901,0.8577333333333332
20.0,0.5,0.4,1.0,1.0,0.7692567132762653,0.8648666666666668
20.0,0.5,0.41,1.0,1.0,0.8342804275127774,0.8649333333333334
20.0,0.5,0.42,1.0,1.0,0.7420275514662744,0.8483333333333333
20.0,0.5,0.43,1.0,1.0,0.8545884193572549,0.933
20.0,0.5,0.44,1.0,1.0,0.8696920079944894,0.9187333333333334
20.0,0.5,0.45,1.0,1.0,0.9588717736369909,0.9718
20.0,0.5,0.46,1.0,1.0,0.9419421864685024,0.9696
20.0,0.5,0.47,1.0,1.0,0.9620156512106977,0.9864666666666668
20.0,0.5,0.48,1.0,1.0,0.9728440625889048,0.9888
20.0,0.5,0.49,1.0,1.0,0.984830917874396,0.99
20.0,0.5,0.5,1.0,1.0,1.0,1.0
25.0,0.5,0.0,0.2587160505325629,0.2993333333333333,0.2679085948919593,0.3512666666666667
25.0,0.5,0.01,0.26593073755321234,0.2966666666666667,0.2394310137811526,0.3318666666666667
25.0,0.5,0.02,0.2553968318405795,0.3706,0.2585184142133484,0.38893333333333335
25.0,0.5,0.03,0.26841908204260884,0.3654000000000001,0.2689994055160411,0.3806666666666667
25.0,0.5,0.04,0.2734338133341254,0.39013333333333344,0.26791094477982513,0.4062
25.0,0.5,0.05,0.2837069265833387,0.4332666666666665,0.2647653791572677,0.4515333333333333
25.0,0.5,0.06,0.2590966526809549,0.3989333333333333,0.2726621929486248,0.4344
25.0,0.5,0.07,0.2844428020331061,0.4743333333333332,0.2771479710970101,0.4622666666666667
25.0,0.5,0.08,0.33191059777493914,0.4332666666666665,0.3112711411058555,0.4934666666666667
25.0,0.5,0.09,0.3145643409390355,0.4968666666666667,0.3057633535088327,0.4738666666666666
25.0,0.5,0.1,0.3250178250101379,0.4416,0.31028502306069017,0.4978000000000001
25.0,0.5,0.11,0.33239542664769645,0.4788,0.32462259843210745,0.5004
25.0,0.5,0.12,0.3802503831689508,0.5002666666666667,0.3815828142753105,0.5224666666666665
25.0,0.5,0.13,0.40908233732482574,0.5498666666666666,0.3162415056130381,0.5201333333333333
25.0,0.5,0.14,0.38743984662868775,0.4603333333333334,0.35189688399044505,0.5258666666666669
25.0,0.5,0.15,0.3712879989419744,0.5186000000000001,0.329166181391408,0.5271999999999999
25.0,0.5,0.16,0.4160560206694657,0.5579999999999999,0.3802356596064133,0.5866666666666667
25.0,0.5,0.17,0.3607161112617699,0.5675333333333333,0.3922361510302823,0.5901333333333334
25.0,0.5,0.18,0.3770173895079282,0.5187333333333333,0.3643706160737513,0.5961333333333332
25.0,0.5,0.19,0.42497423307238064,0.5736666666666665,0.3746954754109357,0.5955333333333334
25.0,0.5,0.2,0.3521331049968932,0.5459999999999998,0.3950713280641149,0.5636
25.0,0.5,0.21,0.4713290620540698,0.6341333333333332,0.3915790637890499,0.6125333333333334
25.0,0.5,0.22,0.4596695695250175,0.6036,0.4227504021941108,0.5853333333333333
25.0,0.5,0.23,0.426842225261311,0.5961333333333333,0.4555955550145395,0.6476
25.0,0.5,0.24,0.5828584081926373,0.6696666666666666,0.4406976454595661,0.6230666666666665
25.0,0.5,0.25,0.5256184993376358,0.6461333333333333,0.4387414557598393,0.6279333333333336
25.0,0.5,0.26,0.7097793847799356,0.7852666666666664,0.426789913193255,0.6056000000000001
25.0,0.5,0.27,0.9194159126257656,0.9432,0.5252038809292903,0.7255333333333334
25.0,0.5,0.28,0.9414160968523184,0.9635333333333334,0.5308871238411271,0.6697333333333333
25.0,0.5,0.29,0.9745161290322579,0.9660666666666664,0.4623391145855357,0.6685333333333332
25.0,0.5,0.3,0.9852390852390852,0.9884,0.531659350068511,0.7169999999999999
25.0,0.5,0.31,1.0,1.0,0.4323713663536893,0.6208666666666667
25.0,0.5,0.32,1.0,1.0,0.5219510430045969,0.7138000000000001
25.0,0.5,0.33,1.0,1.0,0.5624495660192457,0.7112666666666668
25.0,0.5,0.34,1.0,1.0,0.5839463821175672,0.7662666666666667
25.0,0.5,0.35000000000000003,1.0,1.0,0.6011985769099647,0.7422666666666666
25.0,0.5,0.36,1.0,1.0,0.5880804595704658,0.7422
25.0,0.5,0.37,1.0,1.0,0.6642638025303077,0.8122000000000001
25.0,0.5,0.38,1.0,1.0,0.6186787167265678,0.8030666666666667
25.0,0.5,0.39,1.0,1.0,0.7647577134804041,0.8626666666666668
25.0,0.5,0.4,1.0,1.0,0.7412544727624941,0.8480000000000001
25.0,0.5,0.41,1.0,1.0,0.8346709619025475,0.9111333333333334
25.0,0.5,0.42,1.0,1.0,0.7893146782907945,0.8772
25.0,0.5,0.43,1.0,1.0,0.923806755144768,0.9677333333333334
25.0,0.5,0.44,1.0,1.0,0.9787178556470753,0.9954
25.0,0.5,0.45,1.0,1.0,0.9285450196307936,0.9592666666666666
25.0,0.5,0.46,1.0,1.0,0.92617408712452,0.9690666666666666
25.0,0.5,0.47,1.0,1.0,0.9713103448275864,0.9793333333333334
25.0,0.5,0.48,1.0,1.0,0.9852292020373514,0.9902666666666669
25.0,0.5,0.49,1.0,1.0,1.0,1.0
25.0,0.5,0.5,1.0,1.0,1.0,1.0
30.0,0.5,0.0,0.240561546490422,0.3014000000000001,0.27187212580395764,0.3314000000000001
30.0,0.5,0.01,0.24537578292612414,0.3466666666666666,0.2484623975341323,0.34040000000000004
30.0,0.5,0.02,0.2448186470052215,0.35713333333333336,0.2533916907061994,0.3646
30.0,0.5,0.03,0.26951576860633564,0.3863999999999999,0.2749371277531429,0.3923333333333334
30.0,0.5,0.04,0.28538480160320634,0.4324000000000001,0.2729130616049664,0.4192
30.0,0.5,0.05,0.2805117308576513,0.4707333333333334,0.2907707829656559,0.4402000000000001
30.0,0.5,0.06,0.26639795480599066,0.4415333333333333,0.2964197097455866,0.4643999999999999
30.0,0.5,0.07,0.2915893076709451,0.4382666666666667,0.2694042665504671,0.4769333333333334
30.0,0.5,0.08,0.3133577707716939,0.4656666666666666,0.3080918818515044,0.5233333333333333
30.0,0.5,0.09,0.3157327853241002,0.4819333333333333,0.30333942303566785,0.4881999999999999
30.0,0.5,0.1,0.3431649264427901,0.4885333333333333,0.3367386063381888,0.5188666666666667
30.0,0.5,0.11,0.3522356369050195,0.5069999999999999,0.3147557723776656,0.5272666666666667
30.0,0.5,0.12,0.378196678514349,0.5363333333333334,0.3497484865061824,0.5114666666666667
30.0,0.5,0.13,0.3632533291794828,0.5382000000000001,0.3261859831443568,0.5316
30.0,0.5,0.14,0.3829308535938255,0.5346666666666666,0.31240536092488536,0.5117999999999999
30.0,0.5,0.15,0.3968129280249063,0.5163333333333331,0.3326830055794514,0.5832666666666667
30.0,0.5,0.16,0.35445494325709115,0.5343333333333333,0.3726008566340353,0.5796666666666666
30.0,0.5,0.17,0.3837635509083743,0.5501999999999999,0.33575363093784844,0.5913333333333332
30.0,0.5,0.18,0.4240387832860626,0.5699333333333334,0.3608687711438688,0.5205333333333333
30.0,0.5,0.19,0.4155963066165429,0.5267333333333335,0.4445083604783607,0.5993999999999999
30.0,0.5,0.2,0.43197508960024295,0.5807999999999999,0.3970489111874465,0.5838
30.0,0.5,0.21,0.4163799726488116,0.6150666666666665,0.4832477654097919,0.6588666666666666
30.0,0.5,0.22,0.4041987146244017,0.5528666666666665,0.4552138948998106,0.6194000000000001
30.0,0.5,0.23,0.5540930321126181,0.6956666666666668,0.4395572422340696,0.6215333333333334
30.0,0.5,0.24,0.6339504719274077,0.7583333333333334,0.5206970512428145,0.6813333333333331
30.0,0.5,0.25,0.7922887394628928,0.8418666666666667,0.4433917327685292,0.6304666666666666
30.0,0.5,0.26,0.7806921082662359,0.8271333333333333,0.5323965610319905,0.7127999999999999
30.0,0.5,0.27,0.9431992579889972,0.9617333333333332,0.5406596433238134,0.6784666666666667
30.0,0.5,0.28,0.987536945812808,0.9902,0.4713803251857343,0.6491333333333331
30.0,0.5,0.29,1.0,1.0,0.4434882269715946,0.6547999999999999
30.0,0.5,0.3,1.0,1.0,0.5200163694166768,0.6995333333333333
30.0,0.5,0.31,1.0,1.0,0.4593740367674322,0.6831333333333334
30.0,0.5,0.32,1.0,1.0,0.5205189102860541,0.7149333333333334
30.0,0.5,0.33,1.0,1.0,0.5333917112661088,0.7410000000000001
30.0,0.5,0.34,1.0,1.0,0.5383977709355089,0.6972666666666669
30.0,0.5,0.35000000000000003,1.0,1.0,0.6993401291985128,0.8348666666666668
30.0,0.5,0.36,1.0,1.0,0.5895617891021994,0.7597333333333335
30.0,0.5,0.37,1.0,1.0,0.6334656873211499,0.7781333333333332
30.0,0.5,0.38,1.0,1.0,0.7333793527206001,0.8542666666666666
30.0,0.5,0.39,1.0,1.0,0.7301829573763439,0.8615333333333334
30.0,0.5,0.4,1.0,1.0,0.8107993228432713,0.8997333333333334
30.0,0.5,0.41,1.0,1.0,0.8977811683267874,0.9528
30.0,0.5,0.42,1.0,1.0,0.9139520304933696,0.9725333333333332
30.0,0.5,0.43,1.0,1.0,0.8748513279469162,0.9305333333333334
30.0,0.5,0.44,1.0,1.0,0.9248764908034932,0.9577333333333334
30.0,0.5,0.45,1.0,1.0,0.9753401704463384,0.988
30.0,0.5,0.46,1.0,1.0,0.9480517828753124,0.9774
30.0,0.5,0.47,1.0,1.0,1.0,1.0
30.0,0.5,0.48,1.0,1.0,1.0,1.0
30.0,0.5,0.49,1.0,1.0,1.0,1.0
30.0,0.5,0.5,1.0,1.0,1.0,1.0
35.0,0.5,0.0,0.2529207157292471,0.35753333333333337,0.2533966377873885,0.29393333333333344
35.0,0.5,0.01,0.27447638608311153,0.3736,0.2370644093369306,0.3650000000000001
35.0,0.5,0.02,0.2602164623373261,0.4036666666666666,0.2422842670705619,0.3895333333333333
35.0,0.5,0.03,0.2718414439941759,0.4396666666666667,0.254616398649104,0.4058666666666666
35.0,0.5,0.04,0.26963013042864536,0.4525999999999998,0.2545389622451139,0.4197333333333333
35.0,0.5,0.05,0.2832622964536705,0.459,0.26120464133512994,0.4957333333333335
35.0,0.5,0.06,0.3213799022804266,0.4515999999999999,0.2853803871839135,0.4423333333333334
35.0,0.5,0.07,0.2944366681046966,0.4709333333333333,0.30041103918930345,0.4732666666666666
35.0,0.5,0.08,0.3345034636286246,0.4618666666666668,0.3241213608083047,0.5254666666666666
35.0,0.5,0.09,0.3148183552704812,0.5009999999999999,0.3081149757120161,0.5191333333333333
35.0,0.5,0.1,0.33532389255368805,0.5027333333333334,0.3094417445387561,0.4988666666666666
35.0,0.5,0.11,0.3519883604160092,0.503,0.2781318309491149,0.5000666666666667
35.0,0.5,0.12,0.3811623030703768,0.5014666666666667,0.3629456567053094,0.5088666666666667
